Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
93,2/12/2021 10:31:37 AM,14.39000,-0.65000,2.73000,87.00000,87.00000,84.00000,92.00000,77.00000,91.00000,24.94000,24.94000,23.65000,24.51000,14.40467,92.58631,5.49000,86.00000,86.66667
94,2/12/2021 10:31:37 AM,8.84000,-2.22000,0.09000,89.00000,93.00000,87.00000,92.00000,90.00000,94.00000,25.80000,27.52000,24.94000,26.08667,9.11449,104.09723,2.23667,89.66667,92.00000
95,2/12/2021 10:31:37 AM,14.05000,-0.45000,-5.98000,89.00000,89.00000,85.00000,77.00000,71.00000,76.00000,25.80000,25.80000,24.08000,25.22667,14.05720,91.83447,2.54000,87.66667,74.66667
96,2/12/2021 10:31:38 AM,13.55000,-0.75000,-7.64000,98.00000,93.00000,90.00000,58.00000,68.00000,72.00000,29.67000,27.52000,26.23000,27.80667,13.57074,93.16812,1.72000,93.66667,66.00000
97,2/12/2021 10:31:38 AM,25.85000,8.84000,-3.33000,90.00000,92.00000,89.00000,88.00000,69.00000,73.00000,26.23000,27.09000,25.80000,26.37333,27.31974,71.12070,10.45333,90.33333,76.66667
98,2/12/2021 10:31:38 AM,35.99000,8.91000,-4.39000,92.00000,96.00000,92.00000,95.00000,89.00000,92.00000,27.09000,28.81000,27.09000,27.66333,37.07652,76.09494,13.50333,93.33333,92.00000
99,2/12/2021 10:31:38 AM,27.50000,3.42000,-1.96000,98.00000,95.00000,93.00000,90.00000,84.00000,92.00000,29.67000,28.38000,27.52000,28.52333,27.71185,82.91089,9.65333,95.33333,88.66667
100,2/12/2021 10:31:38 AM,31.53000,2.35000,5.64000,96.00000,96.00000,93.00000,82.00000,86.00000,88.00000,28.81000,28.81000,27.52000,28.38000,31.61745,85.73750,13.17333,95.00000,85.33333
101,2/12/2021 10:31:38 AM,33.17000,-3.78000,5.65000,89.00000,94.00000,90.00000,88.00000,88.00000,94.00000,25.80000,27.95000,26.23000,26.66000,33.38469,96.50129,11.68000,91.00000,90.00000
102,2/12/2021 10:31:38 AM,23.14000,-7.51000,3.96000,88.00000,90.00000,86.00000,86.00000,87.00000,94.00000,25.37000,26.23000,24.51000,25.37000,24.32817,107.98064,6.53000,88.00000,89.00000
103,2/12/2021 10:31:38 AM,24.08000,-7.60000,6.30000,87.00000,87.00000,86.00000,79.00000,69.00000,79.00000,24.94000,24.94000,24.51000,24.79667,25.25087,107.51646,7.59333,86.66667,75.66667
104,2/12/2021 10:31:38 AM,18.23000,-11.90000,-6.09000,83.00000,88.00000,85.00000,79.00000,66.00000,80.00000,23.22000,25.37000,24.08000,24.22333,21.77023,123.13530,0.08000,85.33333,75.00000
105,2/12/2021 10:31:38 AM,23.01000,-14.95000,-10.78000,91.00000,92.00000,88.00000,85.00000,78.00000,81.00000,26.66000,27.09000,25.37000,26.37333,27.44016,123.01249,-0.90667,90.33333,81.33333
106,2/12/2021 10:31:39 AM,21.30000,-5.59000,-2.30000,92.00000,95.00000,89.00000,78.00000,63.00000,69.00000,27.09000,28.38000,25.80000,27.09000,22.02131,104.70516,4.47000,92.00000,70.00000
107,2/12/2021 10:31:39 AM,18.18000,-3.13000,-3.57000,87.00000,91.00000,83.00000,86.00000,83.00000,91.00000,24.94000,26.66000,23.22000,24.94000,18.44747,99.76869,3.82667,87.00000,86.66667
108,2/12/2021 10:31:39 AM,26.84000,-7.46000,-4.36000,86.00000,90.00000,86.00000,93.00000,85.00000,92.00000,24.51000,26.23000,24.51000,25.08333,27.85745,105.53292,5.00667,87.33333,90.00000
109,2/12/2021 10:31:39 AM,22.85000,-1.48000,0.17000,93.00000,94.00000,92.00000,71.00000,70.00000,81.00000,27.52000,27.95000,27.09000,27.52000,22.89788,93.70589,7.18000,93.00000,74.00000
110,2/12/2021 10:31:39 AM,25.45000,-2.22000,1.45000,91.00000,91.00000,87.00000,87.00000,80.00000,91.00000,26.66000,26.66000,24.94000,26.08667,25.54664,94.98528,8.22667,89.66667,86.00000
111,2/12/2021 10:31:39 AM,27.68000,5.42000,-3.10000,91.00000,94.00000,91.00000,89.00000,82.00000,88.00000,26.66000,27.95000,26.66000,27.09000,28.20565,78.92113,10.00000,92.00000,86.33333
112,2/12/2021 10:31:39 AM,27.56000,1.12000,-1.05000,88.00000,89.00000,87.00000,92.00000,86.00000,95.00000,25.37000,25.80000,24.94000,25.37000,27.58275,87.67286,9.21000,88.00000,91.00000
113,2/12/2021 10:31:39 AM,30.01000,-0.59000,-7.97000,92.00000,95.00000,88.00000,89.00000,76.00000,80.00000,27.09000,28.38000,25.37000,26.94667,30.01580,91.12630,7.15000,91.66667,81.66667
114,2/12/2021 10:31:39 AM,37.80000,7.94000,-15.27000,92.00000,96.00000,92.00000,86.00000,80.00000,79.00000,27.09000,28.81000,27.09000,27.66333,38.62491,78.13732,10.15667,93.33333,81.66667
115,2/12/2021 10:31:39 AM,40.31000,8.79000,-4.33000,94.00000,96.00000,90.00000,87.00000,87.00000,85.00000,27.95000,28.81000,26.23000,27.66333,41.25725,77.69865,14.92333,93.33333,86.33333
116,2/12/2021 10:31:40 AM,43.82000,5.29000,-1.60000,92.00000,94.00000,89.00000,82.00000,84.00000,86.00000,27.09000,27.95000,25.80000,26.94667,44.13815,83.11650,15.83667,91.66667,84.00000
117,2/12/2021 10:31:40 AM,49.74000,7.49000,5.15000,92.00000,95.00000,90.00000,91.00000,89.00000,94.00000,27.09000,28.38000,26.23000,27.23333,50.30077,81.43657,20.79333,92.33333,91.33333
118,2/12/2021 10:31:40 AM,44.91000,5.96000,-0.13000,93.00000,96.00000,95.00000,77.00000,84.00000,78.00000,27.52000,28.81000,28.38000,28.23667,45.30375,82.44046,16.91333,94.66667,79.66667
119,2/12/2021 10:31:40 AM,44.62000,7.40000,-0.30000,90.00000,91.00000,86.00000,78.00000,71.00000,80.00000,26.23000,26.66000,24.51000,25.80000,45.22947,80.58349,17.24000,89.00000,76.33333
120,2/12/2021 10:31:40 AM,37.32000,13.10000,4.01000,94.00000,96.00000,92.00000,82.00000,83.00000,88.00000,27.95000,28.81000,27.09000,27.95000,39.55240,70.65800,18.14333,94.00000,84.33333
121,2/12/2021 10:31:40 AM,39.55000,5.42000,16.95000,86.00000,89.00000,87.00000,86.00000,75.00000,86.00000,24.51000,25.80000,24.94000,25.08333,39.91966,82.19670,20.64000,87.33333,82.33333
122,2/12/2021 10:31:40 AM,28.97000,0.37000,8.68000,92.00000,93.00000,91.00000,71.00000,79.00000,83.00000,27.09000,27.52000,26.66000,27.09000,28.97236,89.26827,12.67333,92.00000,77.66667
123,2/12/2021 10:31:40 AM,31.58000,-1.23000,1.88000,89.00000,89.00000,88.00000,84.00000,73.00000,74.00000,25.80000,25.80000,25.37000,25.65667,31.60395,92.23047,10.74333,88.66667,77.00000
124,2/12/2021 10:31:40 AM,44.24000,6.84000,-0.67000,89.00000,91.00000,88.00000,72.00000,78.00000,67.00000,25.80000,26.66000,25.37000,25.94333,44.76565,81.21102,16.80333,89.33333,72.33333
125,2/12/2021 10:31:40 AM,47.64000,12.56000,-5.34000,89.00000,91.00000,87.00000,93.00000,85.00000,90.00000,25.80000,26.66000,24.94000,25.80000,49.26787,75.23039,18.28667,89.00000,89.33333
126,2/12/2021 10:31:41 AM,45.87000,9.54000,-4.41000,91.00000,94.00000,93.00000,92.00000,86.00000,92.00000,26.66000,27.95000,27.52000,27.37667,46.85156,78.25117,17.00000,92.66667,90.00000
127,2/12/2021 10:31:41 AM,41.62000,7.42000,-4.50000,90.00000,90.00000,86.00000,94.00000,85.00000,91.00000,26.23000,26.23000,24.51000,25.65667,42.27625,79.89153,14.84667,88.66667,90.00000
128,2/12/2021 10:31:41 AM,35.17000,8.30000,-3.81000,100.00000,98.00000,97.00000,90.00000,87.00000,90.00000,30.53000,29.67000,29.24000,29.81333,36.13612,76.72135,13.22000,98.33333,89.00000
129,2/12/2021 10:31:41 AM,33.39000,5.61000,-1.02000,93.00000,95.00000,92.00000,89.00000,89.00000,93.00000,27.52000,28.38000,27.09000,27.66333,33.85800,80.46256,12.66000,93.33333,90.33333
130,2/12/2021 10:31:41 AM,37.32000,6.73000,6.42000,87.00000,89.00000,85.00000,84.00000,84.00000,90.00000,24.94000,25.80000,24.08000,24.94000,37.92196,79.77759,16.82333,87.00000,86.00000
131,2/12/2021 10:31:41 AM,31.71000,6.31000,10.35000,91.00000,93.00000,90.00000,79.00000,75.00000,80.00000,26.66000,27.52000,26.23000,26.80333,32.33172,78.74567,16.12333,91.33333,78.00000
132,2/12/2021 10:31:41 AM,36.89000,0.32000,5.82000,83.00000,89.00000,86.00000,70.00000,67.00000,67.00000,23.22000,25.80000,24.51000,24.51000,36.89139,89.50300,14.34333,86.00000,68.00000
133,2/12/2021 10:31:41 AM,28.23000,-2.41000,6.91000,89.00000,92.00000,88.00000,68.00000,79.00000,81.00000,25.80000,27.09000,25.37000,26.08667,28.33268,94.87952,10.91000,89.66667,76.00000
134,2/12/2021 10:31:41 AM,23.40000,-0.91000,5.66000,86.00000,93.00000,90.00000,85.00000,84.00000,90.00000,24.51000,27.52000,26.23000,26.08667,23.41769,92.22705,9.38333,89.66667,86.33333
135,2/12/2021 10:31:41 AM,17.11000,-3.52000,8.64000,90.00000,93.00000,92.00000,79.00000,85.00000,88.00000,26.23000,27.52000,27.09000,26.94667,17.46833,101.62513,7.41000,91.66667,84.00000
136,2/12/2021 10:31:42 AM,22.61000,-2.73000,14.27000,93.00000,93.00000,91.00000,85.00000,81.00000,91.00000,27.52000,27.52000,26.66000,27.23333,22.77422,96.88474,11.38333,92.33333,85.66667
137,2/12/2021 10:31:42 AM,24.08000,2.34000,9.17000,90.00000,89.00000,83.00000,81.00000,81.00000,86.00000,26.23000,25.80000,23.22000,25.08333,24.19343,84.44965,11.86333,87.33333,82.66667
