Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
7932,2/19/2021 10:14:08 AM,18.03000,-4.24000,-7.31000,75.00000,70.00000,74.00000,93.00000,90.00000,91.00000,19.78000,17.63000,19.35000,18.92000,18.52184,103.23343,2.16000,73.00000,91.33333
7933,2/19/2021 10:14:08 AM,18.20000,-6.18000,-3.27000,72.00000,72.00000,77.00000,93.00000,93.00000,94.00000,18.49000,18.49000,20.64000,19.20667,19.22062,108.75546,2.91667,73.66667,93.33333
7934,2/19/2021 10:14:08 AM,17.93000,-7.66000,-4.75000,65.00000,66.00000,63.00000,89.00000,85.00000,92.00000,15.48000,15.91000,14.62000,15.33667,19.49770,113.13300,1.84000,64.66667,88.66667
7935,2/19/2021 10:14:08 AM,17.31000,-7.83000,-8.15000,75.00000,70.00000,69.00000,95.00000,86.00000,93.00000,19.78000,17.63000,17.20000,18.20333,18.99855,114.33913,0.44333,71.33333,91.33333
7936,2/19/2021 10:14:09 AM,17.81000,-8.55000,-6.46000,68.00000,70.00000,67.00000,96.00000,91.00000,94.00000,16.77000,17.63000,16.34000,16.91333,19.75598,115.64414,0.93333,68.33333,93.66667
7937,2/19/2021 10:14:09 AM,14.00000,-7.07000,-5.69000,73.00000,78.00000,73.00000,97.00000,94.00000,94.00000,18.92000,21.07000,18.92000,19.63667,15.68391,116.79377,0.41333,74.66667,95.00000
7938,2/19/2021 10:14:09 AM,13.43000,-4.06000,-4.36000,57.00000,63.00000,56.00000,95.00000,93.00000,92.00000,12.04000,14.62000,11.61000,12.75667,14.03027,106.82050,1.67000,58.66667,93.33333
7939,2/19/2021 10:14:09 AM,13.61000,1.00000,-5.18000,66.00000,65.00000,63.00000,97.00000,95.00000,95.00000,15.91000,15.48000,14.62000,15.33667,13.64669,85.79772,3.14333,64.66667,95.66667
7940,2/19/2021 10:14:09 AM,13.40000,3.76000,-5.33000,66.00000,66.00000,66.00000,97.00000,96.00000,95.00000,15.91000,15.91000,15.91000,15.91000,13.91753,74.32604,3.94333,66.00000,96.00000
7941,2/19/2021 10:14:09 AM,12.67000,3.72000,-2.63000,63.00000,65.00000,62.00000,96.00000,94.00000,94.00000,14.62000,15.48000,14.19000,14.76333,13.20482,73.63739,4.58667,63.33333,94.66667
7942,2/19/2021 10:14:09 AM,14.55000,2.23000,-2.24000,70.00000,67.00000,65.00000,94.00000,93.00000,94.00000,17.63000,16.34000,15.48000,16.48333,14.71990,81.28639,4.84667,67.33333,93.66667
7943,2/19/2021 10:14:09 AM,16.90000,0.68000,1.85000,60.00000,59.00000,61.00000,91.00000,91.00000,91.00000,13.33000,12.90000,13.76000,13.33000,16.91367,87.69585,6.47667,60.00000,91.00000
7944,2/19/2021 10:14:09 AM,14.14000,-2.54000,5.96000,72.00000,73.00000,70.00000,94.00000,96.00000,93.00000,18.49000,18.92000,17.63000,18.34667,14.36632,100.18356,5.85333,71.66667,94.33333
7945,2/19/2021 10:14:09 AM,12.31000,-5.60000,4.73000,74.00000,68.00000,68.00000,93.00000,94.00000,93.00000,19.35000,16.77000,16.77000,17.63000,13.52391,114.46149,3.81333,70.00000,93.33333
7946,2/19/2021 10:14:10 AM,12.36000,-3.83000,4.14000,65.00000,67.00000,67.00000,92.00000,95.00000,95.00000,15.48000,16.34000,16.34000,16.05333,12.93980,107.21667,4.22333,66.33333,94.00000
7947,2/19/2021 10:14:10 AM,14.02000,-5.29000,3.44000,69.00000,78.00000,73.00000,95.00000,95.00000,94.00000,17.20000,21.07000,18.92000,19.06333,14.98481,110.67240,4.05667,73.33333,94.66667
7948,2/19/2021 10:14:10 AM,12.12000,-5.92000,1.90000,70.00000,77.00000,70.00000,97.00000,97.00000,95.00000,17.63000,20.64000,17.63000,18.63333,13.48854,116.03314,2.70000,72.33333,96.33333
7949,2/19/2021 10:14:10 AM,12.84000,-5.19000,2.49000,55.00000,55.00000,55.00000,90.00000,95.00000,94.00000,11.18000,11.18000,11.18000,11.18000,13.84925,112.00884,3.38000,55.00000,93.00000
7950,2/19/2021 10:14:10 AM,14.53000,-4.06000,4.34000,56.00000,63.00000,62.00000,94.00000,96.00000,96.00000,11.61000,14.62000,14.19000,13.47333,15.08657,105.61153,4.93667,60.33333,95.33333
7951,2/19/2021 10:14:10 AM,12.46000,-1.84000,5.91000,64.00000,68.00000,66.00000,96.00000,96.00000,96.00000,15.05000,16.77000,15.91000,15.91000,12.59513,98.40030,5.51000,66.00000,96.00000
7952,2/19/2021 10:14:10 AM,10.70000,-1.82000,5.70000,72.00000,78.00000,67.00000,94.00000,96.00000,94.00000,18.49000,21.07000,16.34000,18.63333,10.85368,99.65325,4.86000,72.33333,94.66667
7953,2/19/2021 10:14:10 AM,9.15000,0.17000,5.53000,75.00000,76.00000,71.00000,95.00000,96.00000,95.00000,19.78000,20.21000,18.06000,19.35000,9.15158,88.93561,4.95000,74.00000,95.33333
7954,2/19/2021 10:14:10 AM,11.28000,1.69000,5.98000,64.00000,67.00000,66.00000,93.00000,97.00000,96.00000,15.05000,16.34000,15.91000,15.76667,11.40590,81.47917,6.31667,65.66667,95.33333
7955,2/19/2021 10:14:11 AM,12.60000,2.86000,5.83000,70.00000,74.00000,75.00000,96.00000,95.00000,97.00000,17.63000,19.35000,19.78000,18.92000,12.92051,77.21146,7.09667,73.00000,96.00000
7956,2/19/2021 10:14:11 AM,10.80000,4.03000,5.61000,70.00000,68.00000,68.00000,94.00000,96.00000,95.00000,17.63000,16.77000,16.77000,17.05667,11.52740,69.53703,6.81333,68.66667,95.00000
7957,2/19/2021 10:14:11 AM,12.01000,0.94000,6.66000,72.00000,64.00000,70.00000,94.00000,96.00000,95.00000,18.49000,15.05000,17.63000,17.05667,12.04673,85.52469,6.53667,68.66667,95.00000
7958,2/19/2021 10:14:11 AM,9.66000,0.82000,6.05000,73.00000,62.00000,64.00000,95.00000,94.00000,95.00000,18.92000,14.19000,15.05000,16.05333,9.69474,85.14801,5.51000,66.33333,94.66667
7959,2/19/2021 10:14:11 AM,10.45000,-0.91000,5.79000,64.00000,59.00000,61.00000,93.00000,94.00000,94.00000,15.05000,12.90000,13.76000,13.90333,10.48955,94.97684,5.11000,61.33333,93.66667
7960,2/19/2021 10:14:11 AM,16.76000,2.86000,2.97000,59.00000,63.00000,61.00000,90.00000,92.00000,91.00000,12.90000,14.62000,13.76000,13.76000,17.00227,80.31608,7.53000,61.00000,91.00000
7961,2/19/2021 10:14:11 AM,13.07000,1.28000,4.67000,77.00000,69.00000,70.00000,91.00000,92.00000,89.00000,20.64000,17.20000,17.63000,18.49000,13.13253,84.40662,6.34000,72.00000,90.66667
7962,2/19/2021 10:14:11 AM,13.51000,1.44000,5.02000,69.00000,67.00000,64.00000,95.00000,97.00000,95.00000,17.20000,16.34000,15.05000,16.19667,13.58653,83.91595,6.65667,66.66667,95.66667
7963,2/19/2021 10:14:11 AM,14.49000,2.33000,4.70000,66.00000,63.00000,62.00000,90.00000,96.00000,95.00000,15.91000,14.62000,14.19000,14.90667,14.67614,80.86501,7.17333,63.66667,93.66667
7964,2/19/2021 10:14:11 AM,17.06000,3.31000,4.77000,55.00000,61.00000,59.00000,90.00000,96.00000,94.00000,11.18000,13.76000,12.90000,12.61333,17.37814,79.01983,8.38000,58.33333,93.33333
7965,2/19/2021 10:14:11 AM,15.80000,0.88000,4.31000,66.00000,69.00000,64.00000,93.00000,95.00000,94.00000,15.91000,17.20000,15.05000,16.05333,15.82449,86.81214,6.99667,66.33333,94.00000
7966,2/19/2021 10:14:12 AM,13.49000,1.39000,0.78000,63.00000,70.00000,69.00000,95.00000,97.00000,95.00000,14.62000,17.63000,17.20000,16.48333,13.56142,84.11705,5.22000,67.33333,95.66667
7967,2/19/2021 10:14:12 AM,14.20000,-0.68000,-1.13000,66.00000,61.00000,62.00000,95.00000,94.00000,94.00000,15.91000,13.76000,14.19000,14.62000,14.21627,92.74165,4.13000,63.00000,94.33333
7968,2/19/2021 10:14:12 AM,10.97000,-2.07000,-2.47000,65.00000,70.00000,68.00000,90.00000,90.00000,92.00000,15.48000,17.63000,16.77000,16.62667,11.16359,100.68586,2.14333,67.66667,90.66667
7969,2/19/2021 10:14:12 AM,11.78000,-2.23000,-4.70000,65.00000,61.00000,63.00000,90.00000,87.00000,90.00000,15.48000,13.76000,14.62000,14.62000,11.98922,100.71947,1.61667,63.00000,89.00000
7970,2/19/2021 10:14:12 AM,8.07000,-1.48000,-3.30000,68.00000,68.00000,58.00000,83.00000,80.00000,73.00000,16.77000,16.77000,12.47000,15.33667,8.20459,100.39229,1.09667,64.66667,78.66667
7971,2/19/2021 10:14:12 AM,6.47000,-11.83000,1.97000,59.00000,59.00000,56.00000,91.00000,93.00000,91.00000,12.90000,12.90000,11.61000,12.47000,13.48369,151.32511,-1.13000,58.00000,91.66667
7972,2/19/2021 10:14:12 AM,11.68000,-10.22000,4.58000,58.00000,59.00000,59.00000,87.00000,89.00000,89.00000,12.47000,12.90000,12.90000,12.75667,15.52001,131.18592,2.01333,58.66667,88.33333
7973,2/19/2021 10:14:12 AM,16.00000,-1.85000,2.27000,70.00000,64.00000,72.00000,94.00000,95.00000,92.00000,17.63000,15.05000,18.49000,17.05667,16.10660,96.59554,5.47333,68.66667,93.66667
7974,2/19/2021 10:14:12 AM,22.52000,5.40000,-2.12000,66.00000,63.00000,62.00000,93.00000,93.00000,91.00000,15.91000,14.62000,14.19000,14.90667,23.15838,76.51581,8.60000,63.66667,92.33333
7975,2/19/2021 10:14:12 AM,20.45000,5.24000,2.32000,77.00000,72.00000,73.00000,91.00000,90.00000,90.00000,20.64000,18.49000,18.92000,19.35000,21.11066,75.62804,9.33667,74.00000,90.33333
7976,2/19/2021 10:14:13 AM,17.75000,3.57000,1.47000,63.00000,67.00000,63.00000,92.00000,92.00000,90.00000,14.62000,16.34000,14.62000,15.19333,18.10545,78.62800,7.59667,64.33333,91.33333
7977,2/19/2021 10:14:13 AM,16.15000,3.22000,0.23000,67.00000,64.00000,66.00000,95.00000,97.00000,96.00000,16.34000,15.05000,15.91000,15.76667,16.46788,78.72418,6.53333,65.66667,96.00000
7978,2/19/2021 10:14:13 AM,16.87000,3.76000,1.20000,69.00000,71.00000,68.00000,94.00000,95.00000,95.00000,17.20000,18.06000,16.77000,17.34333,17.28394,77.43524,7.27667,69.33333,94.66667
7979,2/19/2021 10:14:13 AM,17.26000,4.40000,2.40000,58.00000,63.00000,62.00000,90.00000,93.00000,94.00000,12.47000,14.62000,14.19000,13.76000,17.81201,75.69850,8.02000,61.00000,92.33333
7980,2/19/2021 10:14:13 AM,17.38000,4.26000,1.17000,61.00000,61.00000,59.00000,88.00000,91.00000,92.00000,13.76000,13.76000,12.90000,13.47333,17.89447,76.22779,7.60333,60.33333,90.33333
7981,2/19/2021 10:14:13 AM,15.65000,7.39000,3.16000,70.00000,73.00000,68.00000,90.00000,94.00000,91.00000,17.63000,18.92000,16.77000,17.77333,17.30707,64.72311,8.73333,70.33333,91.66667
7982,2/19/2021 10:14:13 AM,14.56000,7.36000,-1.64000,67.00000,73.00000,73.00000,96.00000,96.00000,95.00000,16.34000,18.92000,18.92000,18.06000,16.31451,63.18365,6.76000,71.00000,95.66667
7983,2/19/2021 10:14:13 AM,15.12000,3.77000,-0.09000,61.00000,65.00000,60.00000,94.00000,97.00000,91.00000,13.76000,15.48000,13.33000,14.19000,15.58292,75.99943,6.26667,62.00000,94.00000
7984,2/19/2021 10:14:13 AM,17.12000,3.84000,1.85000,65.00000,63.00000,62.00000,91.00000,95.00000,94.00000,15.48000,14.62000,14.19000,14.76333,17.54537,77.35785,7.60333,63.33333,93.33333
7985,2/19/2021 10:14:14 AM,17.67000,5.89000,3.07000,63.00000,71.00000,68.00000,94.00000,97.00000,98.00000,14.62000,18.06000,16.77000,16.48333,18.62581,71.56505,8.87667,67.33333,96.33333
