Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
3089,2/19/2021 9:58:00 AM,25.89000,5.80000,4.42000,74.00000,71.00000,74.00000,88.00000,90.00000,89.00000,19.35000,18.06000,19.35000,18.92000,26.53172,77.37281,12.03667,73.00000,89.00000
3090,2/19/2021 9:58:00 AM,26.65000,6.55000,1.02000,72.00000,75.00000,71.00000,92.00000,95.00000,94.00000,18.49000,19.78000,18.06000,18.77667,27.44312,76.19162,11.40667,72.66667,93.66667
3091,2/19/2021 9:58:00 AM,31.06000,6.74000,3.71000,74.00000,73.00000,74.00000,90.00000,96.00000,95.00000,19.35000,18.92000,19.35000,19.20667,31.78288,77.75667,13.83667,73.66667,93.66667
3092,2/19/2021 9:58:00 AM,31.60000,5.71000,3.81000,78.00000,81.00000,77.00000,93.00000,95.00000,93.00000,21.07000,22.36000,20.64000,21.35667,32.11175,79.75739,13.70667,78.66667,93.66667
3093,2/19/2021 9:58:00 AM,30.82000,8.62000,1.74000,76.00000,77.00000,80.00000,83.00000,89.00000,92.00000,20.21000,20.64000,21.93000,20.92667,32.00276,74.37430,13.72667,77.66667,88.00000
3094,2/19/2021 9:58:00 AM,34.02000,8.77000,2.48000,74.00000,77.00000,76.00000,85.00000,92.00000,90.00000,19.35000,20.64000,20.21000,20.06667,35.13223,75.54448,15.09000,75.66667,89.00000
3095,2/19/2021 9:58:00 AM,24.77000,7.63000,-7.12000,76.00000,77.00000,77.00000,73.00000,85.00000,78.00000,20.21000,20.64000,20.64000,20.49667,25.91852,72.87939,8.42667,76.66667,78.66667
3096,2/19/2021 9:58:01 AM,23.01000,2.21000,-3.41000,72.00000,68.00000,71.00000,82.00000,85.00000,87.00000,18.49000,16.77000,18.06000,17.77333,23.11589,84.51384,7.27000,70.33333,84.66667
3097,2/19/2021 9:58:01 AM,24.38000,-5.23000,-3.35000,75.00000,74.00000,73.00000,93.00000,86.00000,90.00000,19.78000,19.35000,18.92000,19.35000,24.93466,102.10760,5.26667,74.00000,89.66667
3098,2/19/2021 9:58:01 AM,28.71000,-6.11000,-2.79000,80.00000,80.00000,78.00000,90.00000,85.00000,88.00000,21.93000,21.93000,21.07000,21.64333,29.35296,102.01432,6.60333,79.33333,87.66667
3099,2/19/2021 9:58:01 AM,28.89000,-7.45000,-2.86000,79.00000,78.00000,77.00000,92.00000,91.00000,90.00000,21.50000,21.07000,20.64000,21.07000,29.83512,104.46010,6.19333,78.00000,91.00000
3100,2/19/2021 9:58:01 AM,28.11000,-7.38000,-2.74000,88.00000,80.00000,82.00000,94.00000,94.00000,96.00000,25.37000,21.93000,22.79000,23.36333,29.06263,104.71045,5.99667,83.33333,94.66667
3101,2/19/2021 9:58:01 AM,27.23000,-6.35000,-1.28000,71.00000,73.00000,74.00000,93.00000,96.00000,96.00000,18.06000,18.92000,19.35000,18.77667,27.96060,103.12671,6.53333,72.66667,95.00000
3102,2/19/2021 9:58:01 AM,25.00000,-6.81000,-0.76000,77.00000,76.00000,74.00000,95.00000,95.00000,94.00000,20.64000,20.21000,19.35000,20.06667,25.91093,105.23766,5.81000,75.66667,94.66667
3103,2/19/2021 9:58:01 AM,24.62000,-7.16000,4.00000,80.00000,82.00000,84.00000,95.00000,96.00000,97.00000,21.93000,22.79000,23.65000,22.79000,25.64001,106.21551,7.15333,82.00000,96.00000
3104,2/19/2021 9:58:01 AM,22.61000,-4.06000,5.26000,73.00000,71.00000,70.00000,93.00000,96.00000,96.00000,18.92000,18.06000,17.63000,18.20333,22.97163,100.17992,7.93667,71.33333,95.00000
3105,2/19/2021 9:58:01 AM,21.09000,0.51000,4.76000,69.00000,69.00000,69.00000,87.00000,95.00000,94.00000,17.20000,17.20000,17.20000,17.20000,21.09616,88.61474,8.78667,69.00000,92.00000
3106,2/19/2021 9:58:02 AM,29.49000,1.94000,6.45000,84.00000,78.00000,81.00000,92.00000,94.00000,89.00000,23.65000,21.07000,22.36000,22.36000,29.55374,86.23622,12.62667,81.00000,91.66667
3107,2/19/2021 9:58:02 AM,30.04000,1.66000,7.61000,79.00000,77.00000,78.00000,90.00000,91.00000,95.00000,21.50000,20.64000,21.07000,21.07000,30.08583,86.83707,13.10333,78.00000,92.00000
3108,2/19/2021 9:58:02 AM,30.99000,3.50000,6.53000,79.00000,78.00000,76.00000,89.00000,95.00000,94.00000,21.50000,21.07000,20.21000,20.92667,31.18702,83.55634,13.67333,77.66667,92.66667
3109,2/19/2021 9:58:02 AM,30.20000,3.56000,3.21000,75.00000,74.00000,75.00000,88.00000,92.00000,89.00000,19.78000,19.35000,19.78000,19.63667,30.40910,83.27695,12.32333,74.66667,89.66667
3110,2/19/2021 9:58:02 AM,30.42000,7.62000,4.03000,69.00000,68.00000,67.00000,81.00000,88.00000,89.00000,17.20000,16.77000,16.34000,16.77000,31.35986,75.93717,14.02333,68.00000,86.00000
3111,2/19/2021 9:58:02 AM,30.56000,0.32000,-0.07000,70.00000,71.00000,71.00000,78.00000,75.00000,85.00000,17.63000,18.06000,18.06000,17.91667,30.56167,89.40007,10.27000,70.66667,79.33333
3112,2/19/2021 9:58:02 AM,31.66000,-0.65000,0.27000,79.00000,78.00000,75.00000,92.00000,92.00000,92.00000,21.50000,21.07000,19.78000,20.78333,31.66667,91.17615,10.42667,77.33333,92.00000
3113,2/19/2021 9:58:02 AM,32.22000,-7.28000,-3.87000,75.00000,79.00000,74.00000,91.00000,89.00000,91.00000,19.78000,21.50000,19.35000,20.21000,33.03221,102.73200,7.02333,76.00000,90.33333
3114,2/19/2021 9:58:02 AM,30.34000,-6.03000,-4.36000,70.00000,69.00000,70.00000,93.00000,92.00000,89.00000,17.63000,17.20000,17.63000,17.48667,30.93342,101.24091,6.65000,69.66667,91.33333
3115,2/19/2021 9:58:03 AM,25.04000,-5.57000,-6.87000,74.00000,77.00000,71.00000,92.00000,89.00000,89.00000,19.35000,20.64000,18.06000,19.35000,25.65203,102.54092,4.20000,74.00000,90.00000
3116,2/19/2021 9:58:03 AM,21.87000,-3.56000,-6.55000,88.00000,85.00000,89.00000,92.00000,88.00000,89.00000,25.37000,24.08000,25.80000,25.08333,22.15785,99.24552,3.92000,87.33333,89.66667
3117,2/19/2021 9:58:03 AM,21.93000,-1.46000,-11.14000,71.00000,72.00000,69.00000,95.00000,94.00000,94.00000,18.06000,18.49000,17.20000,17.91667,21.97855,93.80887,3.11000,70.66667,94.33333
3118,2/19/2021 9:58:03 AM,21.65000,-1.63000,-8.48000,78.00000,76.00000,75.00000,96.00000,97.00000,94.00000,21.07000,20.21000,19.78000,20.35333,21.71127,94.30560,3.84667,76.33333,95.66667
3119,2/19/2021 9:58:03 AM,19.30000,-3.27000,-6.05000,73.00000,72.00000,73.00000,95.00000,94.00000,94.00000,18.92000,18.49000,18.92000,18.77667,19.57506,99.61630,3.32667,72.66667,94.33333
3120,2/19/2021 9:58:03 AM,20.06000,-7.37000,-6.23000,74.00000,77.00000,73.00000,96.00000,93.00000,94.00000,19.35000,20.64000,18.92000,19.63667,21.37102,110.17322,2.15333,74.66667,94.33333
