Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
52,2/19/2021 9:14:15 AM,0.45669,0.15814,0.18110,89.00000,91.00000,89.00000,94.00000,93.00000,95.00000,25.80000,26.66000,25.37000,25.94333,0.48330,70.90085,0.26531,89.66667,94.00000
53,2/19/2021 9:14:15 AM,0.47999,0.05479,0.17815,67.00000,70.00000,67.00000,90.00000,91.00000,93.00000,16.34000,17.63000,15.91000,16.62667,0.48310,83.48793,0.23764,68.00000,91.33333
54,2/19/2021 9:14:15 AM,0.60761,0.11909,0.16568,85.00000,84.00000,83.00000,89.00000,88.00000,90.00000,24.08000,23.65000,22.79000,23.50667,0.61917,78.91037,0.29746,84.00000,89.00000
55,2/19/2021 9:14:15 AM,0.58990,0.04068,0.27133,83.00000,78.00000,76.00000,88.00000,94.00000,93.00000,23.22000,21.07000,19.78000,21.35667,0.59130,86.05481,0.30063,79.00000,91.66667
56,2/19/2021 9:14:16 AM,0.61417,-0.15387,0.15584,80.00000,74.00000,75.00000,93.00000,94.00000,95.00000,21.93000,19.35000,19.35000,20.21000,0.63315,104.06505,0.20538,76.33333,94.00000
57,2/19/2021 9:14:16 AM,0.80610,-0.13287,0.03379,84.00000,79.00000,82.00000,94.00000,94.00000,97.00000,23.65000,21.50000,22.36000,22.50333,0.81698,99.36019,0.23567,81.66667,95.00000
58,2/19/2021 9:14:16 AM,0.79954,-0.04396,0.03773,78.00000,77.00000,77.00000,93.00000,94.00000,95.00000,21.07000,20.64000,20.21000,20.64000,0.80075,93.14728,0.26444,77.33333,94.00000
59,2/19/2021 9:14:16 AM,0.88812,-0.11680,0.02559,71.00000,75.00000,73.00000,90.00000,96.00000,95.00000,18.06000,19.78000,18.49000,18.77667,0.89577,97.49202,0.26564,73.00000,93.66667
60,2/19/2021 9:14:16 AM,0.93504,-0.15584,0.02100,67.00000,68.00000,68.00000,92.00000,96.00000,96.00000,16.34000,16.77000,16.34000,16.48333,0.94794,99.46232,0.26673,67.66667,94.66667
61,2/19/2021 9:14:16 AM,0.82710,-0.13812,0.06234,78.00000,75.00000,71.00000,96.00000,94.00000,93.00000,21.07000,19.78000,17.63000,19.49333,0.83855,99.48075,0.25044,74.66667,94.33333
62,2/19/2021 9:14:16 AM,0.92060,-0.10335,0.01476,73.00000,75.00000,74.00000,92.00000,96.00000,95.00000,18.92000,19.78000,18.92000,19.20667,0.92639,96.40518,0.27734,74.00000,94.33333
63,2/19/2021 9:14:16 AM,1.04856,-0.08268,-0.02362,89.00000,90.00000,89.00000,90.00000,92.00000,88.00000,25.80000,26.23000,25.37000,25.80000,1.05181,94.50836,0.31409,89.33333,90.00000
64,2/19/2021 9:14:16 AM,1.14206,0.00098,-0.08530,79.00000,76.00000,77.00000,80.00000,86.00000,85.00000,21.50000,20.21000,20.21000,20.64000,1.14206,89.95062,0.35258,77.33333,83.66667
65,2/19/2021 9:14:16 AM,1.10203,0.07054,-0.03970,78.00000,81.00000,81.00000,93.00000,94.00000,96.00000,21.07000,22.36000,21.93000,21.78667,1.10429,86.33766,0.37762,80.00000,94.33333
66,2/19/2021 9:14:17 AM,0.98491,0.02133,-0.06660,79.00000,79.00000,78.00000,93.00000,95.00000,94.00000,21.50000,21.50000,20.64000,21.21333,0.98514,88.75961,0.31321,78.66667,94.00000
67,2/19/2021 9:14:17 AM,1.08169,0.05807,0.04593,74.00000,73.00000,72.00000,88.00000,93.00000,92.00000,19.35000,18.92000,18.06000,18.77667,1.08325,86.92702,0.39523,73.00000,91.00000
68,2/19/2021 9:14:17 AM,1.19685,0.08924,0.04364,72.00000,76.00000,69.00000,93.00000,97.00000,94.00000,18.49000,20.21000,16.77000,18.49000,1.20017,85.73584,0.44324,72.33333,94.66667
69,2/19/2021 9:14:17 AM,1.13517,0.27461,0.02362,70.00000,73.00000,69.00000,85.00000,92.00000,93.00000,17.63000,18.92000,16.77000,17.77333,1.16791,76.40097,0.47780,70.66667,90.00000
70,2/19/2021 9:14:17 AM,1.10269,0.20604,0.07152,74.00000,75.00000,73.00000,86.00000,95.00000,92.00000,19.35000,19.78000,18.49000,19.20667,1.12177,79.41637,0.46008,74.00000,91.00000
71,2/19/2021 9:14:17 AM,1.12238,0.29593,0.13123,77.00000,78.00000,77.00000,86.00000,91.00000,89.00000,20.64000,21.07000,20.21000,20.64000,1.16073,75.22924,0.51651,77.33333,88.66667
72,2/19/2021 9:14:17 AM,1.12139,0.16732,0.09613,87.00000,85.00000,81.00000,85.00000,92.00000,88.00000,24.94000,24.08000,21.93000,23.65000,1.13381,81.51350,0.46161,84.33333,88.33333
73,2/19/2021 9:14:17 AM,1.04134,-0.02592,0.05807,78.00000,75.00000,78.00000,87.00000,90.00000,89.00000,21.07000,19.78000,20.64000,20.49667,1.04166,91.42578,0.35783,77.00000,88.66667
74,2/19/2021 9:14:17 AM,0.89534,0.01936,0.06365,75.00000,74.00000,75.00000,91.00000,95.00000,95.00000,19.78000,19.35000,19.35000,19.49333,0.89555,88.76148,0.32612,74.66667,93.66667
75,2/19/2021 9:14:18 AM,1.01903,0.20374,0.10761,75.00000,74.00000,76.00000,87.00000,91.00000,89.00000,19.78000,19.35000,19.78000,19.63667,1.03920,78.69362,0.44346,75.00000,89.00000
76,2/19/2021 9:14:18 AM,1.14272,0.07316,0.02625,74.00000,73.00000,70.00000,88.00000,94.00000,93.00000,19.35000,18.92000,17.20000,18.49000,1.14506,86.33662,0.41404,72.33333,91.66667
77,2/19/2021 9:14:18 AM,1.13189,0.17192,0.09482,74.00000,74.00000,73.00000,93.00000,95.00000,93.00000,19.35000,19.35000,18.49000,19.06333,1.14487,81.36369,0.46621,73.66667,93.66667
