Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
6158,2/19/2021 10:08:13 AM,27.09000,3.11000,-3.28000,76.00000,73.00000,73.00000,90.00000,92.00000,91.00000,20.21000,18.92000,18.92000,19.35000,27.26793,83.45097,8.97333,74.00000,91.00000
6159,2/19/2021 10:08:13 AM,30.46000,4.79000,-0.68000,72.00000,70.00000,68.00000,92.00000,97.00000,93.00000,18.49000,17.63000,16.77000,17.63000,30.83433,81.06312,11.52333,70.00000,94.00000
6160,2/19/2021 10:08:13 AM,29.29000,7.75000,-0.25000,69.00000,72.00000,68.00000,93.00000,97.00000,94.00000,17.20000,18.49000,16.77000,17.48667,30.29796,75.17943,12.26333,69.66667,94.66667
6161,2/19/2021 10:08:13 AM,29.99000,4.68000,-1.47000,69.00000,71.00000,70.00000,92.00000,91.00000,93.00000,17.20000,18.06000,17.63000,17.63000,30.35296,81.13041,11.06667,70.00000,92.00000
6162,2/19/2021 10:08:13 AM,30.12000,2.75000,2.38000,63.00000,66.00000,67.00000,85.00000,90.00000,83.00000,14.62000,15.91000,16.34000,15.62333,30.24528,84.78328,11.75000,65.33333,86.00000
6163,2/19/2021 10:08:13 AM,25.71000,2.30000,0.28000,66.00000,63.00000,65.00000,91.00000,90.00000,91.00000,15.91000,14.62000,15.48000,15.33667,25.81267,84.88796,9.43000,64.66667,90.66667
6164,2/19/2021 10:08:13 AM,18.70000,-1.75000,0.26000,75.00000,81.00000,73.00000,92.00000,93.00000,90.00000,19.78000,22.36000,18.92000,20.35333,18.78171,95.34633,5.73667,76.33333,91.66667
6165,2/19/2021 10:08:13 AM,17.73000,-0.21000,2.96000,70.00000,67.00000,64.00000,95.00000,97.00000,97.00000,17.63000,16.34000,15.05000,16.34000,17.73124,90.67860,6.82667,67.00000,96.33333
6166,2/19/2021 10:08:14 AM,23.89000,2.28000,0.32000,67.00000,69.00000,66.00000,90.00000,92.00000,92.00000,16.34000,17.20000,15.91000,16.48333,23.99855,84.54835,8.83000,67.33333,91.33333
6167,2/19/2021 10:08:14 AM,25.90000,6.32000,-2.27000,71.00000,72.00000,69.00000,94.00000,96.00000,94.00000,18.06000,18.49000,17.20000,17.91667,26.65994,76.28693,9.98333,70.66667,94.66667
6168,2/19/2021 10:08:14 AM,26.36000,3.20000,-0.46000,62.00000,62.00000,61.00000,94.00000,96.00000,94.00000,14.19000,14.19000,13.76000,14.04667,26.55352,83.07839,9.70000,61.66667,94.66667
6169,2/19/2021 10:08:14 AM,24.67000,4.20000,-0.26000,70.00000,69.00000,68.00000,95.00000,96.00000,97.00000,17.63000,17.20000,16.77000,17.20000,25.02497,80.33819,9.53667,69.00000,96.00000
6170,2/19/2021 10:08:14 AM,23.01000,2.23000,-1.69000,67.00000,67.00000,67.00000,93.00000,95.00000,96.00000,16.34000,16.34000,16.34000,16.34000,23.11781,84.46450,7.85000,67.00000,94.66667
6171,2/19/2021 10:08:14 AM,20.64000,4.64000,-1.46000,74.00000,76.00000,72.00000,94.00000,94.00000,93.00000,19.35000,20.21000,18.49000,19.35000,21.15512,77.33019,7.94000,74.00000,93.66667
6172,2/19/2021 10:08:14 AM,22.58000,3.80000,-7.48000,68.00000,70.00000,74.00000,89.00000,89.00000,89.00000,16.77000,17.63000,19.35000,17.91667,22.89752,80.44718,6.30000,70.66667,89.00000
6173,2/19/2021 10:08:14 AM,21.01000,1.50000,-5.53000,65.00000,65.00000,68.00000,95.00000,94.00000,94.00000,15.48000,15.48000,16.77000,15.91000,21.06348,85.91632,5.66000,66.00000,94.33333
6174,2/19/2021 10:08:14 AM,17.31000,0.67000,-2.72000,74.00000,71.00000,70.00000,92.00000,90.00000,90.00000,19.35000,18.06000,17.63000,18.34667,17.32296,87.78342,5.08667,71.66667,90.66667
6175,2/19/2021 10:08:14 AM,18.19000,1.54000,-0.88000,78.00000,74.00000,77.00000,98.00000,97.00000,96.00000,21.07000,19.35000,20.64000,20.35333,18.25507,85.16077,6.28333,76.33333,97.00000
6176,2/19/2021 10:08:15 AM,20.76000,2.33000,3.11000,77.00000,74.00000,73.00000,92.00000,95.00000,94.00000,20.64000,19.35000,18.92000,19.63667,20.89034,83.59620,8.73333,74.66667,93.66667
6177,2/19/2021 10:08:15 AM,19.91000,2.42000,1.82000,68.00000,64.00000,64.00000,95.00000,95.00000,95.00000,16.77000,15.05000,15.05000,15.62333,20.05653,83.06987,8.05000,65.33333,95.00000
6178,2/19/2021 10:08:15 AM,21.57000,-0.89000,-0.94000,62.00000,64.00000,64.00000,93.00000,91.00000,92.00000,14.19000,15.05000,15.05000,14.76333,21.58835,92.36274,6.58000,63.33333,92.00000
6179,2/19/2021 10:08:15 AM,17.01000,-4.45000,0.48000,69.00000,70.00000,69.00000,84.00000,80.00000,82.00000,17.20000,17.63000,17.20000,17.34333,17.58245,104.66063,4.34667,69.33333,82.00000
6180,2/19/2021 10:08:15 AM,17.27000,-0.67000,-1.20000,78.00000,74.00000,76.00000,93.00000,95.00000,92.00000,21.07000,19.35000,20.21000,20.21000,17.28299,92.22171,5.13333,76.00000,93.33333
6181,2/19/2021 10:08:15 AM,19.49000,-6.46000,1.20000,70.00000,72.00000,67.00000,93.00000,95.00000,96.00000,17.63000,18.49000,16.34000,17.48667,20.53270,108.33788,4.74333,69.66667,94.66667
6182,2/19/2021 10:08:15 AM,18.38000,-6.00000,-1.75000,74.00000,77.00000,70.00000,94.00000,94.00000,94.00000,19.35000,20.64000,17.63000,19.20667,19.33454,108.07885,3.54333,73.66667,94.00000
6183,2/19/2021 10:08:15 AM,18.54000,-4.41000,-0.28000,61.00000,67.00000,64.00000,94.00000,94.00000,96.00000,13.76000,16.34000,15.05000,15.05000,19.05727,103.37996,4.61667,64.00000,94.66667
6184,2/19/2021 10:08:15 AM,17.25000,-4.71000,-0.35000,74.00000,71.00000,74.00000,98.00000,95.00000,96.00000,19.35000,18.06000,19.35000,18.92000,17.88146,105.27198,4.06333,73.00000,96.33333
6185,2/19/2021 10:08:16 AM,15.00000,-5.43000,-1.64000,74.00000,73.00000,68.00000,95.00000,93.00000,95.00000,19.35000,18.92000,16.77000,18.34667,15.95258,109.90025,2.64333,71.66667,94.33333
6186,2/19/2021 10:08:16 AM,18.06000,-4.22000,-4.28000,81.00000,77.00000,74.00000,91.00000,91.00000,92.00000,22.36000,20.64000,19.35000,20.78333,18.54648,103.15207,3.18667,77.33333,91.33333
6187,2/19/2021 10:08:16 AM,24.89000,-4.16000,-4.20000,82.00000,78.00000,80.00000,97.00000,95.00000,95.00000,22.79000,21.07000,21.93000,21.93000,25.23525,99.48845,5.51000,80.00000,95.66667
6188,2/19/2021 10:08:16 AM,21.71000,-1.16000,-1.76000,82.00000,76.00000,74.00000,96.00000,93.00000,94.00000,22.79000,20.21000,19.35000,20.78333,21.74097,93.05850,6.26333,77.33333,94.33333
6189,2/19/2021 10:08:16 AM,16.66000,4.18000,1.04000,64.00000,66.00000,63.00000,93.00000,93.00000,96.00000,15.05000,15.91000,14.62000,15.19333,17.17638,75.91521,7.29333,64.33333,94.00000
6190,2/19/2021 10:08:16 AM,20.42000,4.84000,0.35000,69.00000,69.00000,65.00000,92.00000,93.00000,91.00000,17.20000,17.20000,15.48000,16.62667,20.98576,76.66568,8.53667,67.66667,92.00000
6191,2/19/2021 10:08:16 AM,22.97000,2.16000,1.30000,66.00000,63.00000,60.00000,97.00000,97.00000,96.00000,15.91000,14.62000,13.33000,14.62000,23.07133,84.62795,8.81000,63.00000,96.66667
6192,2/19/2021 10:08:16 AM,23.48000,2.25000,1.73000,69.00000,67.00000,67.00000,94.00000,96.00000,96.00000,17.20000,16.34000,16.34000,16.62667,23.58756,84.52627,9.15333,67.66667,95.33333
6193,2/19/2021 10:08:16 AM,25.53000,3.60000,4.93000,66.00000,64.00000,64.00000,89.00000,93.00000,95.00000,15.91000,15.05000,15.05000,15.33667,25.78257,81.97361,11.35333,64.66667,92.33333
6194,2/19/2021 10:08:16 AM,25.14000,1.57000,5.35000,71.00000,66.00000,67.00000,94.00000,95.00000,96.00000,18.06000,15.91000,16.34000,16.77000,25.18898,86.42650,10.68667,68.00000,95.00000
6195,2/19/2021 10:08:16 AM,27.35000,0.63000,8.75000,73.00000,65.00000,67.00000,85.00000,92.00000,90.00000,18.92000,15.48000,16.34000,16.91333,27.35725,88.68044,12.24333,68.33333,89.00000
6196,2/19/2021 10:08:17 AM,34.95000,2.20000,5.97000,76.00000,73.00000,74.00000,91.00000,94.00000,92.00000,20.21000,18.92000,19.35000,19.49333,35.01917,86.39815,14.37333,74.33333,92.33333
6197,2/19/2021 10:08:17 AM,33.06000,3.06000,-1.35000,65.00000,65.00000,65.00000,90.00000,93.00000,93.00000,15.48000,15.48000,15.48000,15.48000,33.20131,84.71183,11.59000,65.00000,92.00000
6198,2/19/2021 10:08:17 AM,31.19000,2.96000,-2.39000,73.00000,74.00000,70.00000,94.00000,93.00000,92.00000,18.92000,19.35000,17.63000,18.63333,31.33014,84.57874,10.58667,72.33333,93.00000
6199,2/19/2021 10:08:17 AM,26.54000,-2.53000,-2.71000,68.00000,66.00000,67.00000,85.00000,84.00000,90.00000,16.77000,15.91000,16.34000,16.34000,26.66032,95.44543,7.10000,67.00000,86.33333
6200,2/19/2021 10:08:17 AM,26.09000,-5.66000,-5.72000,70.00000,68.00000,66.00000,89.00000,86.00000,90.00000,17.63000,16.77000,15.91000,16.77000,26.69688,102.24016,4.90333,68.00000,88.33333
6201,2/19/2021 10:08:17 AM,27.69000,-2.10000,0.33000,74.00000,71.00000,70.00000,87.00000,90.00000,92.00000,19.35000,18.06000,17.63000,18.34667,27.76952,94.33699,8.64000,71.66667,89.66667
6202,2/19/2021 10:08:17 AM,31.39000,-3.31000,3.35000,69.00000,71.00000,69.00000,90.00000,94.00000,95.00000,17.20000,18.06000,17.20000,17.48667,31.56403,96.01946,10.47667,69.66667,93.00000
6203,2/19/2021 10:08:17 AM,33.51000,-2.23000,4.78000,69.00000,69.00000,69.00000,85.00000,92.00000,84.00000,17.20000,17.20000,17.20000,17.20000,33.58412,93.80727,12.02000,69.00000,87.00000
6204,2/19/2021 10:08:17 AM,30.94000,-3.81000,2.39000,72.00000,73.00000,72.00000,89.00000,96.00000,92.00000,18.49000,18.92000,18.49000,18.63333,31.17370,97.02015,9.84000,72.33333,92.33333
6205,2/19/2021 10:08:17 AM,29.04000,-2.13000,-2.77000,71.00000,70.00000,67.00000,91.00000,92.00000,93.00000,18.06000,17.63000,16.34000,17.34333,29.11801,94.19497,8.04667,69.33333,92.00000
6206,2/19/2021 10:08:18 AM,29.15000,-5.68000,-8.20000,78.00000,74.00000,73.00000,96.00000,90.00000,92.00000,21.07000,19.35000,18.92000,19.78000,29.69823,101.02616,5.09000,75.00000,92.66667
6207,2/19/2021 10:08:18 AM,29.80000,-1.51000,-7.57000,72.00000,75.00000,75.00000,93.00000,89.00000,94.00000,18.49000,19.78000,19.78000,19.35000,29.83823,92.90076,6.90667,74.00000,92.00000
6208,2/19/2021 10:08:18 AM,31.05000,-0.60000,-5.43000,77.00000,75.00000,72.00000,96.00000,95.00000,91.00000,20.64000,19.78000,18.49000,19.63667,31.05580,91.10703,8.34000,74.66667,94.00000
6209,2/19/2021 10:08:18 AM,29.68000,-1.30000,-5.37000,70.00000,68.00000,69.00000,92.00000,91.00000,86.00000,17.63000,16.77000,17.20000,17.20000,29.70846,92.50798,7.67000,69.00000,89.66667
6210,2/19/2021 10:08:18 AM,29.34000,0.98000,-6.34000,64.00000,63.00000,63.00000,96.00000,89.00000,90.00000,15.05000,14.62000,14.62000,14.76333,29.35636,88.08695,7.99333,63.33333,91.66667
6211,2/19/2021 10:08:18 AM,25.25000,2.90000,-8.04000,68.00000,64.00000,66.00000,96.00000,91.00000,93.00000,16.77000,15.05000,15.91000,15.91000,25.41599,83.44820,6.70333,66.00000,93.33333
6212,2/19/2021 10:08:18 AM,22.98000,6.50000,-6.12000,79.00000,76.00000,74.00000,97.00000,95.00000,95.00000,21.50000,20.21000,19.35000,20.35333,23.88159,74.20620,7.78667,76.33333,95.66667
6213,2/19/2021 10:08:18 AM,23.34000,7.94000,-4.92000,70.00000,75.00000,74.00000,94.00000,94.00000,92.00000,17.63000,19.78000,19.35000,18.92000,24.65358,71.21228,8.78667,73.00000,93.33333
6214,2/19/2021 10:08:18 AM,23.32000,5.77000,-1.03000,77.00000,71.00000,71.00000,96.00000,97.00000,97.00000,20.64000,18.06000,18.06000,18.92000,24.02322,76.10258,9.35333,73.00000,96.66667
6215,2/19/2021 10:08:18 AM,28.25000,1.80000,-1.45000,69.00000,68.00000,66.00000,92.00000,94.00000,89.00000,17.20000,16.77000,15.91000,16.62667,28.30729,86.35422,9.53333,67.66667,91.66667
