Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
57,2/19/2021 9:47:53 AM,29.50000,3.54000,-5.52000,85.00000,81.00000,88.00000,93.00000,86.00000,91.00000,24.08000,22.36000,25.37000,23.93667,29.71164,83.15723,9.17333,84.66667,90.00000
58,2/19/2021 9:47:53 AM,28.47000,5.13000,0.94000,73.00000,75.00000,73.00000,90.00000,90.00000,90.00000,18.92000,19.78000,18.92000,19.20667,28.92850,79.78550,11.51333,73.66667,90.00000
59,2/19/2021 9:47:53 AM,27.15000,-2.00000,3.44000,79.00000,84.00000,82.00000,86.00000,88.00000,87.00000,21.50000,23.65000,22.79000,22.64667,27.22356,94.21307,9.53000,81.66667,87.00000
60,2/19/2021 9:47:53 AM,29.32000,2.94000,0.26000,75.00000,80.00000,76.00000,84.00000,83.00000,85.00000,19.78000,21.93000,20.21000,20.64000,29.46703,84.27393,10.84000,77.00000,84.00000
61,2/19/2021 9:47:53 AM,30.20000,0.66000,-1.53000,79.00000,77.00000,75.00000,93.00000,93.00000,93.00000,21.50000,20.64000,19.78000,20.64000,30.20721,88.74804,9.77667,77.00000,93.00000
62,2/19/2021 9:47:53 AM,29.09000,-0.99000,1.51000,70.00000,70.00000,69.00000,94.00000,94.00000,95.00000,17.63000,17.63000,17.20000,17.48667,29.10684,91.94916,9.87000,69.66667,94.33333
63,2/19/2021 9:47:53 AM,31.84000,0.87000,-1.43000,87.00000,83.00000,83.00000,89.00000,88.00000,84.00000,24.94000,23.22000,23.22000,23.79333,31.85188,88.43483,10.42667,84.33333,87.00000
64,2/19/2021 9:47:53 AM,29.32000,0.69000,-0.80000,82.00000,80.00000,79.00000,86.00000,90.00000,88.00000,22.79000,21.93000,21.50000,22.07333,29.32812,88.65188,9.73667,80.33333,88.00000
65,2/19/2021 9:47:53 AM,33.29000,2.21000,-3.23000,72.00000,72.00000,71.00000,79.00000,82.00000,78.00000,18.49000,18.49000,18.06000,18.34667,33.36327,86.20192,10.75667,71.66667,79.66667
66,2/19/2021 9:47:54 AM,35.55000,4.70000,-0.50000,76.00000,74.00000,73.00000,82.00000,89.00000,88.00000,20.21000,19.35000,18.92000,19.49333,35.85934,82.46871,13.25000,74.33333,86.33333
67,2/19/2021 9:47:54 AM,35.34000,0.33000,3.62000,86.00000,88.00000,86.00000,83.00000,83.00000,92.00000,24.51000,25.37000,24.51000,24.79667,35.34154,89.46500,13.09667,86.66667,86.00000
68,2/19/2021 9:47:54 AM,26.89000,-5.22000,1.23000,80.00000,79.00000,76.00000,90.00000,89.00000,90.00000,21.93000,21.50000,20.21000,21.21333,27.39198,100.98586,7.63333,78.33333,89.66667
69,2/19/2021 9:47:54 AM,27.65000,-9.32000,-4.17000,77.00000,73.00000,76.00000,66.00000,70.00000,59.00000,20.64000,18.92000,20.21000,19.92333,29.17850,108.62745,4.72000,75.33333,65.00000
70,2/19/2021 9:47:54 AM,27.37000,-0.65000,-13.82000,81.00000,78.00000,78.00000,68.00000,69.00000,73.00000,22.36000,21.07000,21.07000,21.50000,27.37772,91.36044,4.30000,79.00000,70.00000
71,2/19/2021 9:47:54 AM,28.27000,-0.39000,-1.28000,70.00000,72.00000,71.00000,93.00000,91.00000,94.00000,17.63000,18.49000,18.06000,18.06000,28.27269,90.79038,8.86667,71.00000,92.66667
72,2/19/2021 9:47:54 AM,27.70000,5.55000,2.52000,82.00000,79.00000,78.00000,86.00000,91.00000,88.00000,22.79000,21.50000,21.07000,21.78667,28.25053,78.67018,11.92333,79.66667,88.33333
73,2/19/2021 9:47:54 AM,28.27000,-1.30000,0.17000,77.00000,79.00000,75.00000,72.00000,71.00000,71.00000,20.64000,21.50000,19.78000,20.64000,28.29987,92.63290,9.04667,77.00000,71.33333
74,2/19/2021 9:47:54 AM,32.67000,2.71000,-8.08000,72.00000,67.00000,68.00000,91.00000,92.00000,88.00000,18.49000,16.34000,16.77000,17.20000,32.78221,85.25813,9.10000,69.00000,90.33333
