Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
13396,2/19/2021 10:32:21 AM,5.71000,-0.77000,-0.33000,59.00000,65.00000,64.00000,97.00000,98.00000,98.00000,12.90000,15.48000,15.05000,14.47667,5.76168,97.68007,1.53667,62.66667,97.66667
13397,2/19/2021 10:32:21 AM,6.03000,-1.03000,-0.06000,46.00000,48.00000,43.00000,94.00000,95.00000,91.00000,7.31000,8.17000,6.02000,7.16667,6.11734,99.69329,1.64667,45.66667,93.33333
13398,2/19/2021 10:32:21 AM,6.44000,-0.44000,-0.22000,60.00000,60.00000,57.00000,97.00000,97.00000,97.00000,13.33000,13.33000,12.04000,12.90000,6.45501,93.90854,1.92667,59.00000,97.00000
13399,2/19/2021 10:32:21 AM,6.07000,-0.87000,-0.11000,64.00000,73.00000,63.00000,97.00000,97.00000,97.00000,15.05000,18.92000,14.62000,16.19667,6.13203,98.15653,1.69667,66.66667,97.00000
13400,2/19/2021 10:32:21 AM,5.79000,0.08000,-0.14000,77.00000,71.00000,68.00000,98.00000,98.00000,98.00000,20.64000,18.06000,16.77000,18.49000,5.79055,89.20840,1.91000,72.00000,98.00000
13401,2/19/2021 10:32:21 AM,5.18000,-1.12000,-0.12000,58.00000,55.00000,56.00000,95.00000,94.00000,94.00000,12.47000,11.18000,11.61000,11.75333,5.29970,102.20047,1.31333,56.33333,94.33333
13402,2/19/2021 10:32:21 AM,6.30000,0.10000,-0.54000,63.00000,62.00000,68.00000,97.00000,97.00000,97.00000,14.62000,14.19000,16.77000,15.19333,6.30079,89.09062,1.95333,64.33333,97.00000
13403,2/19/2021 10:32:21 AM,6.18000,-0.70000,-0.41000,57.00000,59.00000,60.00000,96.00000,97.00000,97.00000,12.04000,12.90000,13.33000,12.75667,6.21952,96.46227,1.69000,58.66667,96.66667
13404,2/19/2021 10:32:21 AM,4.76000,-0.52000,-0.55000,61.00000,53.00000,57.00000,97.00000,95.00000,97.00000,13.76000,10.32000,12.04000,12.04000,4.78832,96.23448,1.23000,57.00000,96.33333
13405,2/19/2021 10:32:21 AM,4.10000,-1.11000,-0.76000,55.00000,47.00000,50.00000,97.00000,94.00000,94.00000,11.18000,7.74000,9.03000,9.31667,4.24760,105.14864,0.74333,50.66667,95.00000
13406,2/19/2021 10:32:22 AM,5.59000,-1.78000,-0.65000,51.00000,47.00000,48.00000,91.00000,93.00000,92.00000,9.46000,7.74000,8.17000,8.45667,5.86656,107.66281,1.05333,48.66667,92.00000
13407,2/19/2021 10:32:22 AM,4.77000,-0.15000,-0.61000,55.00000,46.00000,53.00000,96.00000,93.00000,95.00000,11.18000,7.31000,10.32000,9.60333,4.77236,91.80116,1.33667,51.33333,94.66667
13408,2/19/2021 10:32:22 AM,4.84000,-0.22000,-0.33000,61.00000,59.00000,58.00000,97.00000,95.00000,95.00000,13.76000,12.90000,12.47000,13.04333,4.84500,92.60256,1.43000,59.33333,95.66667
13409,2/19/2021 10:32:22 AM,5.77000,-0.07000,-0.22000,60.00000,64.00000,63.00000,95.00000,97.00000,98.00000,13.33000,15.05000,14.62000,14.33333,5.77042,90.69506,1.82667,62.33333,96.66667
13410,2/19/2021 10:32:22 AM,4.80000,-0.34000,-0.04000,51.00000,53.00000,58.00000,95.00000,96.00000,97.00000,9.46000,10.32000,12.47000,10.75000,4.81203,94.05168,1.47333,54.00000,96.00000
13411,2/19/2021 10:32:22 AM,5.03000,-1.53000,-0.06000,47.00000,47.00000,45.00000,92.00000,91.00000,90.00000,7.74000,7.74000,6.88000,7.45333,5.25755,106.91845,1.14667,46.33333,91.00000
13412,2/19/2021 10:32:22 AM,5.24000,-0.89000,0.10000,50.00000,59.00000,45.00000,95.00000,97.00000,91.00000,9.03000,12.90000,6.88000,9.60333,5.31504,99.63954,1.48333,51.33333,94.33333
13413,2/19/2021 10:32:22 AM,4.24000,0.13000,0.13000,53.00000,52.00000,53.00000,96.00000,96.00000,95.00000,10.32000,9.89000,10.32000,10.17667,4.24199,88.24384,1.50000,52.66667,95.66667
13414,2/19/2021 10:32:22 AM,3.99000,-0.08000,0.02000,44.00000,51.00000,46.00000,92.00000,96.00000,93.00000,6.45000,9.46000,7.31000,7.74000,3.99080,91.14863,1.31000,47.00000,93.66667
13415,2/19/2021 10:32:23 AM,4.23000,-0.60000,0.08000,49.00000,54.00000,51.00000,95.00000,96.00000,95.00000,8.60000,10.75000,9.46000,9.60333,4.27234,98.07320,1.23667,51.33333,95.33333
13416,2/19/2021 10:32:23 AM,4.11000,0.14000,0.10000,52.00000,55.00000,55.00000,94.00000,95.00000,96.00000,9.89000,11.18000,11.18000,10.75000,4.11238,88.04907,1.45000,54.00000,95.00000
13417,2/19/2021 10:32:23 AM,5.59000,1.67000,0.64000,53.00000,53.00000,48.00000,93.00000,96.00000,93.00000,10.32000,10.32000,8.17000,9.60333,5.83412,73.36660,2.63333,51.33333,94.00000
13418,2/19/2021 10:32:23 AM,5.60000,2.06000,0.51000,64.00000,69.00000,70.00000,96.00000,98.00000,98.00000,15.05000,17.20000,17.63000,16.62667,5.96688,69.80359,2.72333,67.66667,97.33333
13419,2/19/2021 10:32:23 AM,5.72000,0.99000,0.31000,67.00000,67.00000,69.00000,96.00000,97.00000,98.00000,16.34000,16.34000,17.20000,16.62667,5.80504,80.18070,2.34000,67.66667,97.00000
13420,2/19/2021 10:32:23 AM,6.00000,1.17000,0.50000,56.00000,55.00000,59.00000,96.00000,96.00000,95.00000,11.61000,11.18000,12.90000,11.89667,6.11301,78.96579,2.55667,56.66667,95.66667
13421,2/19/2021 10:32:23 AM,5.28000,0.37000,0.61000,72.00000,64.00000,60.00000,99.00000,97.00000,97.00000,18.49000,15.05000,13.33000,15.62333,5.29295,85.99151,2.08667,65.33333,97.66667
13422,2/19/2021 10:32:23 AM,4.76000,1.06000,0.66000,65.00000,62.00000,63.00000,95.00000,97.00000,98.00000,15.48000,14.19000,14.62000,14.76333,4.87660,77.44571,2.16000,63.33333,96.66667
13423,2/19/2021 10:32:23 AM,5.38000,0.60000,0.93000,50.00000,47.00000,50.00000,93.00000,92.00000,94.00000,9.03000,7.74000,9.03000,8.60000,5.41335,83.63643,2.30333,49.00000,93.00000
13424,2/19/2021 10:32:23 AM,5.48000,-0.27000,1.11000,50.00000,48.00000,56.00000,93.00000,95.00000,95.00000,9.03000,8.17000,11.61000,9.60333,5.48665,92.82069,2.10667,51.33333,94.33333
13425,2/19/2021 10:32:23 AM,5.61000,0.10000,1.62000,56.00000,57.00000,52.00000,96.00000,96.00000,92.00000,11.61000,12.04000,9.89000,11.18000,5.61089,88.97879,2.44333,55.00000,94.66667
13426,2/19/2021 10:32:24 AM,6.00000,-0.76000,1.28000,62.00000,54.00000,57.00000,96.00000,94.00000,96.00000,14.19000,10.75000,12.04000,12.32667,6.04794,97.21902,2.17333,57.66667,95.33333
13427,2/19/2021 10:32:24 AM,5.47000,-0.01000,1.23000,50.00000,45.00000,47.00000,93.00000,91.00000,90.00000,9.03000,6.88000,7.74000,7.88333,5.47001,90.10475,2.23000,47.33333,91.33333
13428,2/19/2021 10:32:24 AM,6.38000,0.35000,1.00000,48.00000,51.00000,54.00000,93.00000,95.00000,96.00000,8.17000,9.46000,10.75000,9.46000,6.38959,86.85996,2.57667,51.00000,94.66667
13429,2/19/2021 10:32:24 AM,6.34000,1.25000,0.78000,48.00000,54.00000,50.00000,94.00000,96.00000,95.00000,8.17000,10.75000,9.03000,9.31667,6.46205,78.84657,2.79000,50.66667,95.00000
13430,2/19/2021 10:32:24 AM,5.86000,0.73000,0.83000,54.00000,54.00000,49.00000,96.00000,96.00000,93.00000,10.75000,10.75000,8.60000,10.03333,5.90529,82.89905,2.47333,52.33333,95.00000
13431,2/19/2021 10:32:24 AM,5.40000,0.83000,0.87000,62.00000,59.00000,62.00000,96.00000,97.00000,97.00000,14.19000,12.90000,14.19000,13.76000,5.46341,81.26181,2.36667,61.00000,96.66667
13432,2/19/2021 10:32:24 AM,4.84000,1.38000,0.80000,59.00000,67.00000,67.00000,94.00000,97.00000,97.00000,12.90000,16.34000,16.34000,15.19333,5.03289,74.08588,2.34000,64.33333,96.00000
13433,2/19/2021 10:32:24 AM,4.86000,1.49000,0.68000,52.00000,53.00000,54.00000,95.00000,96.00000,95.00000,9.89000,10.32000,10.75000,10.32000,5.08328,72.95528,2.34333,53.00000,95.33333
