Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
11588,2/19/2021 10:26:19 AM,8.74000,1.56000,-1.37000,56.00000,57.00000,58.00000,95.00000,94.00000,95.00000,11.61000,12.04000,12.47000,12.04000,8.87813,79.87987,2.97667,57.00000,94.66667
11589,2/19/2021 10:26:19 AM,9.28000,1.38000,-1.51000,68.00000,70.00000,65.00000,97.00000,97.00000,95.00000,16.77000,17.63000,15.48000,16.62667,9.38205,81.54171,3.05000,67.66667,96.33333
11590,2/19/2021 10:26:19 AM,8.62000,0.53000,-0.67000,68.00000,64.00000,65.00000,97.00000,95.00000,97.00000,16.77000,15.05000,15.48000,15.76667,8.63628,86.48160,2.82667,65.66667,96.33333
11591,2/19/2021 10:26:19 AM,8.06000,0.45000,-2.30000,55.00000,48.00000,49.00000,95.00000,94.00000,94.00000,11.18000,8.17000,8.60000,9.31667,8.07255,86.80442,2.07000,50.66667,94.33333
11592,2/19/2021 10:26:19 AM,7.61000,1.50000,-2.77000,52.00000,55.00000,50.00000,93.00000,94.00000,93.00000,9.89000,11.18000,9.03000,10.03333,7.75642,78.84942,2.11333,52.33333,93.33333
11593,2/19/2021 10:26:19 AM,9.13000,-0.15000,-0.42000,51.00000,48.00000,50.00000,93.00000,93.00000,93.00000,9.46000,8.17000,9.03000,8.88667,9.13123,90.94125,2.85333,49.66667,93.00000
11594,2/19/2021 10:26:19 AM,6.77000,1.38000,-1.40000,52.00000,53.00000,52.00000,93.00000,95.00000,95.00000,9.89000,10.32000,9.89000,10.03333,6.90922,78.47864,2.25000,52.33333,94.33333
11595,2/19/2021 10:26:19 AM,8.46000,-0.84000,-1.63000,56.00000,55.00000,54.00000,94.00000,96.00000,94.00000,11.61000,11.18000,10.75000,11.18000,8.50160,95.67036,1.99667,55.00000,94.66667
11596,2/19/2021 10:26:20 AM,10.15000,-1.63000,-0.47000,58.00000,55.00000,54.00000,96.00000,95.00000,94.00000,12.47000,11.18000,10.75000,11.46667,10.28005,99.12330,2.68333,55.66667,95.00000
11597,2/19/2021 10:26:20 AM,8.04000,-2.96000,-1.20000,49.00000,51.00000,46.00000,92.00000,94.00000,89.00000,8.60000,9.46000,7.31000,8.45667,8.56757,110.21165,1.29333,48.66667,91.66667
11598,2/19/2021 10:26:20 AM,8.73000,1.00000,-3.59000,65.00000,58.00000,63.00000,95.00000,94.00000,94.00000,15.48000,12.47000,14.62000,14.19000,8.78709,83.46539,2.04667,62.00000,94.33333
11599,2/19/2021 10:26:20 AM,8.47000,-1.22000,-4.08000,73.00000,69.00000,66.00000,96.00000,97.00000,96.00000,18.92000,17.20000,15.91000,17.34333,8.55741,98.19638,1.05667,69.33333,96.33333
11600,2/19/2021 10:26:20 AM,9.46000,-1.34000,-4.70000,49.00000,55.00000,53.00000,93.00000,95.00000,93.00000,8.60000,11.18000,10.32000,10.03333,9.55443,98.06226,1.14000,52.33333,93.66667
11601,2/19/2021 10:26:20 AM,10.60000,-0.56000,-3.58000,56.00000,51.00000,52.00000,96.00000,93.00000,91.00000,11.61000,9.46000,9.89000,10.32000,10.61478,93.02414,2.15333,53.00000,93.33333
11602,2/19/2021 10:26:20 AM,11.26000,-0.52000,-2.80000,62.00000,66.00000,55.00000,97.00000,96.00000,96.00000,14.19000,15.91000,11.18000,13.76000,11.27200,92.64411,2.64667,61.00000,96.33333
11603,2/19/2021 10:26:20 AM,10.37000,0.02000,-2.42000,62.00000,66.00000,63.00000,97.00000,96.00000,97.00000,14.19000,15.91000,14.62000,14.90667,10.37002,89.88950,2.65667,63.66667,96.66667
11604,2/19/2021 10:26:20 AM,10.27000,-0.60000,-2.26000,64.00000,64.00000,56.00000,97.00000,97.00000,95.00000,15.05000,15.05000,11.61000,13.90333,10.28751,93.34357,2.47000,61.33333,96.33333
11605,2/19/2021 10:26:20 AM,9.72000,-1.21000,-1.97000,51.00000,53.00000,50.00000,94.00000,95.00000,94.00000,9.46000,10.32000,9.03000,9.60333,9.79502,97.09599,2.18000,51.33333,94.33333
11606,2/19/2021 10:26:21 AM,8.70000,-0.18000,-1.86000,56.00000,60.00000,59.00000,95.00000,96.00000,96.00000,11.61000,13.33000,12.90000,12.61333,8.70186,91.18526,2.22000,58.33333,95.66667
11607,2/19/2021 10:26:21 AM,7.83000,0.26000,-1.61000,62.00000,67.00000,62.00000,96.00000,96.00000,96.00000,14.19000,16.34000,14.19000,14.90667,7.83432,88.09816,2.16000,63.66667,96.00000
11608,2/19/2021 10:26:21 AM,8.26000,-0.21000,-1.56000,61.00000,58.00000,59.00000,96.00000,95.00000,95.00000,13.76000,12.47000,12.90000,13.04333,8.26267,91.45636,2.16333,59.33333,95.33333
11609,2/19/2021 10:26:21 AM,7.30000,-2.19000,-3.09000,57.00000,59.00000,62.00000,96.00000,95.00000,95.00000,12.04000,12.90000,14.19000,13.04333,7.62142,106.69924,0.67333,59.33333,95.33333
11610,2/19/2021 10:26:21 AM,7.55000,-1.30000,-3.09000,59.00000,58.00000,55.00000,96.00000,96.00000,95.00000,12.90000,12.47000,11.18000,12.18333,7.66110,99.76970,1.05333,57.33333,95.66667
11611,2/19/2021 10:26:21 AM,7.14000,-2.32000,-2.90000,65.00000,62.00000,60.00000,97.00000,97.00000,96.00000,15.48000,14.19000,13.33000,14.33333,7.50746,108.00053,0.64000,62.33333,96.66667
11612,2/19/2021 10:26:21 AM,6.79000,-3.63000,-3.16000,62.00000,53.00000,52.00000,97.00000,93.00000,94.00000,14.19000,10.32000,9.89000,11.46667,7.69942,118.12939,0.00000,55.66667,94.66667
11613,2/19/2021 10:26:21 AM,6.94000,-0.65000,-1.43000,57.00000,65.00000,57.00000,96.00000,97.00000,96.00000,12.04000,15.48000,12.04000,13.18667,6.97037,95.35071,1.62000,59.66667,96.33333
11614,2/19/2021 10:26:21 AM,6.42000,-0.22000,-1.08000,53.00000,55.00000,57.00000,95.00000,95.00000,96.00000,10.32000,11.18000,12.04000,11.18000,6.42377,91.96264,1.70667,55.00000,95.33333
11615,2/19/2021 10:26:21 AM,7.57000,0.45000,-0.54000,54.00000,55.00000,53.00000,94.00000,95.00000,94.00000,10.75000,11.18000,10.32000,10.75000,7.58336,86.59805,2.49333,54.00000,94.33333
11616,2/19/2021 10:26:22 AM,7.52000,1.12000,-0.03000,58.00000,65.00000,58.00000,96.00000,97.00000,96.00000,12.47000,15.48000,12.47000,13.47333,7.60295,81.52886,2.87000,60.33333,96.33333
11617,2/19/2021 10:26:22 AM,9.43000,2.44000,-0.53000,56.00000,55.00000,57.00000,96.00000,95.00000,96.00000,11.61000,11.18000,12.04000,11.61000,9.74056,75.49296,3.78000,56.00000,95.66667
11618,2/19/2021 10:26:22 AM,9.51000,1.04000,-0.79000,73.00000,60.00000,66.00000,98.00000,96.00000,96.00000,18.92000,13.33000,15.91000,16.05333,9.56670,83.75902,3.25333,66.33333,96.66667
11619,2/19/2021 10:26:22 AM,8.89000,2.38000,1.41000,70.00000,68.00000,75.00000,96.00000,97.00000,98.00000,17.63000,16.77000,19.78000,18.06000,9.20307,75.01244,4.22667,71.00000,97.00000
11620,2/19/2021 10:26:22 AM,8.37000,2.16000,1.31000,57.00000,60.00000,55.00000,95.00000,96.00000,95.00000,12.04000,13.33000,11.18000,12.18333,8.64422,75.52971,3.94667,57.33333,95.33333
11621,2/19/2021 10:26:22 AM,8.84000,1.26000,0.30000,68.00000,63.00000,62.00000,96.00000,97.00000,97.00000,16.77000,14.62000,14.19000,15.19333,8.92934,81.88805,3.46667,64.33333,96.66667
11622,2/19/2021 10:26:22 AM,8.49000,4.18000,-0.14000,65.00000,59.00000,64.00000,97.00000,96.00000,96.00000,15.48000,12.90000,15.05000,14.47667,9.46322,63.78695,4.17667,62.66667,96.33333
11623,2/19/2021 10:26:22 AM,8.68000,4.56000,-0.08000,62.00000,66.00000,65.00000,96.00000,98.00000,97.00000,14.19000,15.91000,15.48000,15.19333,9.80490,62.28501,4.38667,64.33333,97.00000
11624,2/19/2021 10:26:22 AM,9.17000,2.56000,-1.16000,57.00000,57.00000,55.00000,93.00000,96.00000,95.00000,12.04000,12.04000,11.18000,11.75333,9.52064,74.40180,3.52333,56.33333,94.66667
11625,2/19/2021 10:26:22 AM,8.25000,3.09000,-1.70000,46.00000,46.00000,44.00000,93.00000,94.00000,91.00000,7.31000,7.31000,6.45000,7.02333,8.80969,69.46679,3.21333,45.33333,92.66667
11626,2/19/2021 10:26:23 AM,9.58000,3.27000,-1.08000,58.00000,62.00000,61.00000,96.00000,96.00000,95.00000,12.47000,14.19000,13.76000,13.47333,10.12271,71.15337,3.92333,60.33333,95.66667
11627,2/19/2021 10:26:23 AM,7.56000,2.03000,-0.63000,68.00000,69.00000,63.00000,96.00000,97.00000,95.00000,16.77000,17.20000,14.62000,16.19667,7.82780,74.96957,2.98667,66.66667,96.00000
11628,2/19/2021 10:26:23 AM,9.48000,-0.41000,0.29000,59.00000,61.00000,63.00000,94.00000,95.00000,96.00000,12.90000,13.76000,14.62000,13.76000,9.48886,92.47644,3.12000,61.00000,95.00000
11629,2/19/2021 10:26:23 AM,9.76000,-0.55000,-0.87000,58.00000,65.00000,63.00000,95.00000,95.00000,92.00000,12.47000,15.48000,14.62000,14.19000,9.77548,93.22535,2.78000,62.00000,94.00000
11630,2/19/2021 10:26:23 AM,8.27000,-0.76000,-0.15000,67.00000,58.00000,60.00000,98.00000,95.00000,95.00000,16.34000,12.47000,13.33000,14.04667,8.30485,95.25064,2.45333,61.66667,96.00000
11631,2/19/2021 10:26:23 AM,5.50000,-2.48000,-0.74000,55.00000,57.00000,53.00000,92.00000,94.00000,94.00000,11.18000,12.04000,10.32000,11.18000,6.03327,114.27105,0.76000,55.00000,93.33333
11632,2/19/2021 10:26:23 AM,5.37000,-1.08000,0.00000,72.00000,59.00000,63.00000,96.00000,94.00000,95.00000,18.49000,12.90000,14.62000,15.33667,5.47753,101.37147,1.43000,64.66667,95.00000
11633,2/19/2021 10:26:23 AM,5.24000,-2.36000,0.68000,65.00000,58.00000,56.00000,95.00000,96.00000,96.00000,15.48000,12.47000,11.61000,13.18667,5.74693,114.24593,1.18667,59.66667,95.66667
11634,2/19/2021 10:26:23 AM,5.69000,-0.88000,0.66000,62.00000,70.00000,66.00000,97.00000,98.00000,98.00000,14.19000,17.63000,15.91000,15.91000,5.75765,98.79156,1.82333,66.00000,97.66667
11635,2/19/2021 10:26:23 AM,4.27000,0.04000,0.48000,71.00000,71.00000,68.00000,97.00000,97.00000,98.00000,18.06000,18.06000,16.77000,17.63000,4.27019,89.46329,1.59667,70.00000,97.33333
11636,2/19/2021 10:26:24 AM,3.36000,0.83000,0.40000,65.00000,56.00000,68.00000,97.00000,97.00000,97.00000,15.48000,11.61000,16.77000,14.62000,3.46100,76.12436,1.53000,63.00000,97.00000
11637,2/19/2021 10:26:24 AM,4.39000,-0.09000,1.26000,51.00000,53.00000,54.00000,93.00000,95.00000,94.00000,9.46000,10.32000,10.75000,10.17667,4.39092,91.17446,1.85333,52.66667,94.00000
11638,2/19/2021 10:26:24 AM,4.20000,-0.19000,1.97000,48.00000,43.00000,49.00000,94.00000,91.00000,93.00000,8.17000,6.02000,8.60000,7.59667,4.20430,92.59019,1.99333,46.66667,92.66667
11639,2/19/2021 10:26:24 AM,4.19000,-1.22000,2.36000,53.00000,48.00000,50.00000,94.00000,93.00000,93.00000,10.32000,8.17000,9.03000,9.17333,4.36400,106.23395,1.77667,50.33333,93.33333
11640,2/19/2021 10:26:24 AM,4.09000,-0.44000,2.16000,61.00000,56.00000,50.00000,95.00000,97.00000,93.00000,13.76000,11.61000,9.03000,11.46667,4.11360,96.14023,1.93667,55.66667,95.00000
11641,2/19/2021 10:26:24 AM,3.62000,-1.18000,1.37000,59.00000,59.00000,61.00000,95.00000,98.00000,97.00000,12.90000,12.90000,13.76000,13.18667,3.80747,108.05425,1.27000,59.66667,96.66667
11642,2/19/2021 10:26:24 AM,3.78000,-1.48000,1.07000,69.00000,61.00000,80.00000,97.00000,97.00000,99.00000,17.20000,13.76000,21.93000,17.63000,4.05941,111.38205,1.12333,70.00000,97.66667
11643,2/19/2021 10:26:24 AM,3.85000,-2.59000,0.83000,55.00000,56.00000,58.00000,96.00000,96.00000,96.00000,11.18000,11.61000,12.47000,11.75333,4.64011,123.92980,0.69667,56.33333,96.00000
11644,2/19/2021 10:26:24 AM,4.31000,-2.86000,0.51000,58.00000,53.00000,52.00000,96.00000,95.00000,96.00000,12.47000,10.32000,9.89000,10.89333,5.17259,123.56718,0.65333,54.33333,95.66667
11645,2/19/2021 10:26:24 AM,4.80000,-1.66000,0.17000,58.00000,59.00000,57.00000,97.00000,97.00000,96.00000,12.47000,12.90000,12.04000,12.47000,5.07894,109.07709,1.10333,58.00000,96.66667
11646,2/19/2021 10:26:25 AM,4.63000,-2.14000,-0.08000,57.00000,67.00000,60.00000,97.00000,98.00000,96.00000,12.04000,16.34000,13.33000,13.90333,5.10064,114.80652,0.80333,61.33333,97.00000
11647,2/19/2021 10:26:25 AM,4.78000,-0.66000,-0.50000,65.00000,66.00000,59.00000,98.00000,98.00000,97.00000,15.48000,15.91000,12.90000,14.76333,4.82535,97.86143,1.20667,63.33333,97.66667
11648,2/19/2021 10:26:25 AM,5.20000,1.03000,-0.52000,66.00000,66.00000,62.00000,97.00000,97.00000,96.00000,15.91000,15.91000,14.19000,15.33667,5.30103,78.79605,1.90333,64.66667,96.66667
11649,2/19/2021 10:26:25 AM,4.21000,-0.18000,0.02000,62.00000,53.00000,52.00000,97.00000,97.00000,96.00000,14.19000,10.32000,9.89000,11.46667,4.21385,92.44821,1.35000,55.66667,96.66667
11650,2/19/2021 10:26:25 AM,4.97000,0.27000,-0.49000,62.00000,66.00000,68.00000,97.00000,97.00000,97.00000,14.19000,15.91000,16.77000,15.62333,4.97733,86.89041,1.58333,65.33333,97.00000
11651,2/19/2021 10:26:25 AM,4.19000,0.37000,-0.82000,58.00000,56.00000,63.00000,94.00000,94.00000,97.00000,12.47000,11.61000,14.62000,12.90000,4.20630,84.95356,1.24667,59.00000,95.00000
11652,2/19/2021 10:26:25 AM,5.97000,-0.65000,0.51000,50.00000,48.00000,49.00000,91.00000,92.00000,92.00000,9.03000,8.17000,8.60000,8.60000,6.00528,96.21376,1.94333,49.00000,91.66667
11653,2/19/2021 10:26:25 AM,5.77000,-1.57000,1.19000,65.00000,68.00000,61.00000,98.00000,97.00000,97.00000,15.48000,16.77000,13.76000,15.33667,5.97978,105.22150,1.79667,64.66667,97.33333
11654,2/19/2021 10:26:25 AM,5.72000,0.32000,0.88000,65.00000,57.00000,53.00000,97.00000,96.00000,92.00000,15.48000,12.04000,10.32000,12.61333,5.72894,86.79798,2.30667,58.33333,95.00000
11655,2/19/2021 10:26:25 AM,5.23000,-1.48000,0.78000,60.00000,66.00000,65.00000,97.00000,98.00000,97.00000,13.33000,15.91000,15.48000,14.90667,5.43537,105.80060,1.51000,63.66667,97.33333
