Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
64,2/19/2021 9:27:54 AM,32.84000,-1.97000,-0.04000,69.00000,72.00000,73.00000,85.00000,86.00000,85.00000,16.77000,18.49000,18.92000,18.06000,32.89903,93.43294,10.27667,71.33333,85.33333
65,2/19/2021 9:27:54 AM,31.85000,2.20000,8.34000,83.00000,81.00000,83.00000,85.00000,89.00000,92.00000,22.79000,22.36000,23.22000,22.79000,31.92589,86.04864,14.13000,82.33333,88.66667
66,2/19/2021 9:27:55 AM,28.93000,1.27000,3.53000,72.00000,72.00000,71.00000,89.00000,92.00000,90.00000,18.06000,18.49000,18.06000,18.20333,28.95786,87.48638,11.24333,71.66667,90.33333
67,2/19/2021 9:27:55 AM,34.29000,1.27000,-2.37000,75.00000,74.00000,73.00000,90.00000,88.00000,90.00000,19.35000,19.35000,18.92000,19.20667,34.31351,87.87890,11.06333,74.00000,89.33333
68,2/19/2021 9:27:55 AM,36.85000,-1.71000,-5.21000,81.00000,85.00000,83.00000,95.00000,93.00000,93.00000,21.93000,24.08000,23.22000,23.07667,36.88965,92.65687,9.97667,83.00000,93.66667
69,2/19/2021 9:27:55 AM,33.85000,2.10000,-1.54000,89.00000,89.00000,86.00000,94.00000,94.00000,91.00000,25.37000,25.80000,24.51000,25.22667,33.91508,86.45001,11.47000,88.00000,93.00000
70,2/19/2021 9:27:55 AM,30.65000,4.09000,0.91000,83.00000,78.00000,82.00000,84.00000,86.00000,84.00000,22.79000,21.07000,22.79000,22.21667,30.92168,82.39923,11.88333,81.00000,84.66667
71,2/19/2021 9:27:55 AM,32.57000,4.81000,5.90000,74.00000,73.00000,72.00000,87.00000,96.00000,96.00000,18.92000,18.92000,18.49000,18.77667,32.92326,81.59917,14.42667,73.00000,93.00000
72,2/19/2021 9:27:55 AM,31.81000,4.69000,4.44000,86.00000,83.00000,82.00000,94.00000,97.00000,96.00000,24.08000,23.22000,22.79000,23.36333,32.15388,81.61285,13.64667,83.66667,95.66667
73,2/19/2021 9:27:55 AM,34.48000,1.13000,1.39000,77.00000,79.00000,76.00000,92.00000,94.00000,95.00000,20.21000,21.50000,20.21000,20.64000,34.49851,88.12294,12.33333,77.33333,93.66667
74,2/19/2021 9:27:55 AM,29.08000,-2.80000,1.88000,82.00000,80.00000,82.00000,91.00000,87.00000,93.00000,22.36000,21.93000,22.79000,22.36000,29.21449,95.49983,9.38667,81.33333,90.33333
75,2/19/2021 9:27:56 AM,28.54000,2.50000,11.42000,81.00000,81.00000,78.00000,79.00000,96.00000,93.00000,21.93000,22.36000,21.07000,21.78667,28.64929,84.99388,14.15333,80.00000,89.33333
76,2/19/2021 9:27:56 AM,35.74000,-0.84000,8.08000,79.00000,71.00000,69.00000,86.00000,86.00000,92.00000,21.07000,18.06000,17.20000,18.77667,35.74987,91.34638,14.32667,73.00000,88.00000
77,2/19/2021 9:27:56 AM,35.32000,-2.62000,4.74000,73.00000,75.00000,72.00000,93.00000,93.00000,92.00000,18.49000,19.78000,18.49000,18.92000,35.41704,94.24237,12.48000,73.33333,92.66667
78,2/19/2021 9:27:56 AM,35.67000,-1.52000,5.35000,83.00000,80.00000,80.00000,87.00000,91.00000,92.00000,22.79000,21.93000,21.93000,22.21667,35.70237,92.44006,13.16667,81.00000,90.00000
79,2/19/2021 9:27:56 AM,37.42000,1.16000,-0.09000,76.00000,78.00000,77.00000,83.00000,84.00000,88.00000,19.78000,21.07000,20.64000,20.49667,37.43797,88.22443,12.83000,77.00000,85.00000
80,2/19/2021 9:27:56 AM,33.42000,-5.80000,-4.93000,78.00000,81.00000,78.00000,95.00000,96.00000,91.00000,20.64000,22.36000,21.07000,21.35667,33.91956,99.84555,7.56333,79.00000,94.00000
81,2/19/2021 9:27:56 AM,31.30000,-4.53000,-4.01000,78.00000,80.00000,80.00000,95.00000,90.00000,93.00000,20.64000,21.93000,21.93000,21.50000,31.62611,98.23515,7.58667,79.33333,92.66667
82,2/19/2021 9:27:56 AM,29.69000,-3.94000,-4.09000,75.00000,75.00000,73.00000,96.00000,94.00000,91.00000,19.35000,19.78000,18.92000,19.35000,29.95029,97.55925,7.22000,74.33333,93.66667
83,2/19/2021 9:27:56 AM,29.67000,-2.51000,-3.72000,74.00000,72.00000,70.00000,89.00000,86.00000,84.00000,18.92000,18.49000,17.63000,18.34667,29.77598,94.83555,7.81333,72.00000,86.33333
84,2/19/2021 9:27:56 AM,26.20000,-8.22000,-1.46000,79.00000,83.00000,78.00000,91.00000,92.00000,92.00000,21.07000,23.22000,21.07000,21.78667,27.45921,107.41875,5.50667,80.00000,91.66667
85,2/19/2021 9:27:56 AM,30.01000,-4.50000,0.98000,84.00000,83.00000,81.00000,95.00000,96.00000,94.00000,23.22000,23.22000,22.36000,22.93333,30.34551,98.52797,8.83000,82.66667,95.00000
86,2/19/2021 9:27:57 AM,27.77000,-4.10000,2.82000,78.00000,77.00000,76.00000,86.00000,89.00000,91.00000,20.64000,20.64000,20.21000,20.49667,28.07103,98.39855,8.83000,77.00000,88.66667
87,2/19/2021 9:27:57 AM,26.61000,-1.27000,4.71000,79.00000,76.00000,74.00000,93.00000,95.00000,95.00000,21.07000,20.21000,19.35000,20.21000,26.64029,92.73245,10.01667,76.33333,94.33333
88,2/19/2021 9:27:57 AM,32.76000,3.91000,2.04000,80.00000,82.00000,81.00000,92.00000,97.00000,98.00000,21.50000,22.79000,22.36000,22.21667,32.99251,83.19378,12.90333,81.00000,95.66667
89,2/19/2021 9:27:57 AM,38.20000,4.47000,4.01000,76.00000,77.00000,77.00000,85.00000,94.00000,92.00000,19.78000,20.64000,20.64000,20.35333,38.46064,83.32585,15.56000,76.66667,90.33333
90,2/19/2021 9:27:57 AM,35.29000,3.90000,4.41000,76.00000,74.00000,74.00000,93.00000,96.00000,95.00000,19.78000,19.35000,19.35000,19.49333,35.50485,83.69367,14.53333,74.66667,94.66667
91,2/19/2021 9:27:57 AM,29.76000,1.05000,2.66000,76.00000,76.00000,75.00000,84.00000,87.00000,87.00000,19.78000,20.21000,19.78000,19.92333,29.77852,87.97931,11.15667,75.66667,86.00000
92,2/19/2021 9:27:57 AM,29.73000,1.94000,-5.30000,75.00000,75.00000,78.00000,94.00000,88.00000,94.00000,19.35000,19.78000,21.07000,20.06667,29.79323,86.26652,8.79000,76.00000,92.00000
93,2/19/2021 9:27:57 AM,26.51000,-1.66000,-4.36000,79.00000,80.00000,79.00000,91.00000,90.00000,84.00000,21.07000,21.93000,21.50000,21.50000,26.56192,93.58306,6.83000,79.33333,88.33333
94,2/19/2021 9:27:57 AM,25.72000,-7.32000,6.66000,83.00000,84.00000,85.00000,88.00000,94.00000,93.00000,22.79000,23.65000,24.08000,23.50667,26.74137,105.88653,8.35333,84.00000,91.66667
95,2/19/2021 9:27:57 AM,22.00000,-2.70000,5.79000,70.00000,71.00000,67.00000,95.00000,96.00000,94.00000,17.20000,18.06000,16.34000,17.20000,22.16506,96.99677,8.36333,69.33333,95.00000
96,2/19/2021 9:27:58 AM,23.82000,0.63000,3.50000,87.00000,89.00000,84.00000,93.00000,97.00000,95.00000,24.51000,25.80000,23.65000,24.65333,23.82833,88.48497,9.31667,86.66667,95.00000
97,2/19/2021 9:27:58 AM,26.13000,-0.87000,6.07000,78.00000,77.00000,76.00000,91.00000,95.00000,98.00000,20.64000,20.64000,20.21000,20.49667,26.14448,91.90696,10.44333,77.00000,94.66667
98,2/19/2021 9:27:58 AM,25.50000,-5.87000,3.61000,78.00000,80.00000,84.00000,92.00000,93.00000,92.00000,20.64000,21.93000,23.65000,22.07333,26.16690,102.96343,7.74667,80.66667,92.33333
99,2/19/2021 9:27:58 AM,29.48000,-3.08000,3.62000,83.00000,78.00000,79.00000,93.00000,95.00000,96.00000,22.79000,21.07000,21.50000,21.78667,29.64046,95.96449,10.00667,80.00000,94.66667
100,2/19/2021 9:27:58 AM,31.92000,-2.94000,4.71000,86.00000,82.00000,83.00000,93.00000,96.00000,98.00000,24.08000,22.79000,23.22000,23.36333,32.05511,95.26240,11.23000,83.66667,95.66667
101,2/19/2021 9:27:58 AM,34.95000,-2.34000,6.38000,79.00000,82.00000,79.00000,87.00000,94.00000,95.00000,21.07000,22.79000,21.50000,21.78667,35.02825,93.83040,12.99667,80.00000,92.00000
102,2/19/2021 9:27:58 AM,38.58000,0.42000,5.30000,78.00000,77.00000,75.00000,88.00000,95.00000,95.00000,20.64000,20.64000,19.78000,20.35333,38.58229,89.37628,14.76667,76.66667,92.66667
103,2/19/2021 9:27:58 AM,39.29000,2.40000,2.44000,83.00000,80.00000,77.00000,90.00000,89.00000,89.00000,22.79000,21.93000,20.64000,21.78667,39.36323,86.50447,14.71000,80.00000,89.33333
104,2/19/2021 9:27:58 AM,41.22000,0.51000,-0.26000,83.00000,84.00000,79.00000,95.00000,91.00000,92.00000,22.79000,23.65000,21.50000,22.64667,41.22316,89.29114,13.82333,82.00000,92.66667
