Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
48,2/12/2021 9:49:40 AM,26.33000,9.18000,6.29000,101.00000,98.00000,100.00000,84.00000,84.00000,84.00000,30.96000,29.67000,30.53000,30.38667,27.88443,70.77880,13.93333,99.66667,84.00000
49,2/12/2021 9:49:40 AM,30.98000,10.35000,1.14000,102.00000,101.00000,100.00000,88.00000,87.00000,86.00000,31.39000,30.96000,30.53000,30.96000,32.66317,71.52622,14.15667,101.00000,87.00000
50,2/12/2021 9:49:40 AM,33.57000,6.23000,2.32000,102.00000,103.00000,101.00000,89.00000,92.00000,92.00000,31.39000,31.82000,30.96000,31.39000,34.14320,79.48652,14.04000,102.00000,91.00000
51,2/12/2021 9:49:40 AM,35.67000,4.87000,1.05000,99.00000,97.00000,98.00000,87.00000,94.00000,94.00000,30.10000,29.24000,29.67000,29.67000,36.00091,82.22552,13.86333,98.00000,91.66667
52,2/12/2021 9:49:40 AM,31.34000,5.35000,1.98000,99.00000,97.00000,96.00000,85.00000,85.00000,90.00000,30.10000,29.24000,28.81000,29.38333,31.79337,80.31251,12.89000,97.33333,86.66667
53,2/12/2021 9:49:40 AM,31.54000,3.13000,4.28000,99.00000,100.00000,98.00000,85.00000,91.00000,89.00000,30.10000,30.53000,29.67000,30.10000,31.69493,84.33258,12.98333,99.00000,88.33333
54,2/12/2021 9:49:40 AM,28.96000,4.65000,1.30000,98.00000,96.00000,97.00000,83.00000,86.00000,87.00000,29.67000,28.81000,29.24000,29.24000,29.33094,80.87809,11.63667,97.00000,85.33333
55,2/12/2021 9:49:40 AM,30.46000,4.33000,-2.66000,107.00000,106.00000,105.00000,94.00000,91.00000,92.00000,33.54000,33.11000,32.68000,33.11000,30.76622,81.90940,10.71000,106.00000,92.33333
56,2/12/2021 9:49:41 AM,28.69000,-6.80000,-1.57000,104.00000,105.00000,104.00000,90.00000,94.00000,88.00000,32.25000,32.68000,32.25000,32.39333,29.48485,103.33399,6.77333,104.33333,90.66667
57,2/12/2021 9:49:41 AM,26.39000,-3.70000,-4.08000,99.00000,100.00000,100.00000,95.00000,94.00000,90.00000,30.10000,30.53000,30.53000,30.38667,26.64812,97.98111,6.20333,99.66667,93.00000
58,2/12/2021 9:49:41 AM,26.39000,-1.48000,-2.59000,111.00000,109.00000,109.00000,82.00000,79.00000,83.00000,35.26000,34.40000,34.40000,34.68667,26.43147,93.20989,7.44000,109.66667,81.33333
59,2/12/2021 9:49:41 AM,27.18000,-1.54000,-4.17000,102.00000,101.00000,101.00000,93.00000,91.00000,91.00000,31.39000,30.96000,30.96000,31.10333,27.22359,93.24287,7.15667,101.33333,91.66667
60,2/12/2021 9:49:41 AM,22.90000,-3.46000,0.80000,96.00000,100.00000,97.00000,86.00000,85.00000,83.00000,28.81000,30.53000,29.24000,29.52667,23.15991,98.59193,6.74667,97.66667,84.66667
61,2/12/2021 9:49:41 AM,25.59000,-2.60000,-1.72000,96.00000,96.00000,97.00000,81.00000,80.00000,85.00000,28.81000,28.81000,29.24000,28.95333,25.72174,95.80147,7.09000,96.33333,82.00000
62,2/12/2021 9:49:41 AM,22.13000,5.55000,-0.38000,103.00000,99.00000,100.00000,84.00000,87.00000,91.00000,31.82000,30.10000,30.53000,30.81667,22.81533,75.92112,9.10000,100.66667,87.33333
63,2/12/2021 9:49:41 AM,23.17000,7.77000,3.18000,105.00000,103.00000,103.00000,91.00000,90.00000,92.00000,32.68000,31.82000,31.82000,32.10667,24.43812,71.46126,11.37333,103.66667,91.00000
64,2/12/2021 9:49:41 AM,19.93000,8.81000,1.56000,95.00000,96.00000,94.00000,96.00000,97.00000,96.00000,28.38000,28.81000,27.95000,28.38000,21.79039,66.15231,10.10000,95.00000,96.33333
65,2/12/2021 9:49:41 AM,21.01000,3.80000,5.74000,97.00000,99.00000,99.00000,88.00000,95.00000,94.00000,29.24000,30.10000,30.10000,29.81333,21.35088,79.74796,10.18333,98.33333,92.33333
66,2/12/2021 9:49:42 AM,22.09000,-0.20000,6.09000,89.00000,91.00000,90.00000,92.00000,96.00000,97.00000,25.80000,26.66000,26.23000,26.23000,22.09091,90.51873,9.32667,90.00000,95.00000
67,2/12/2021 9:49:42 AM,22.90000,-2.74000,4.82000,102.00000,101.00000,99.00000,91.00000,96.00000,96.00000,31.39000,30.96000,30.10000,30.81667,23.06334,96.82304,8.32667,100.66667,94.33333
