Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
25,2/12/2021 9:53:38 AM,37.48000,2.58000,1.04000,101.00000,103.00000,99.00000,88.00000,83.00000,87.00000,30.96000,31.82000,30.10000,30.96000,37.56869,86.06216,13.70000,101.00000,86.00000
26,2/12/2021 9:53:39 AM,35.61000,-0.10000,-2.21000,107.00000,107.00000,106.00000,96.00000,94.00000,94.00000,33.54000,33.54000,33.11000,33.39667,35.61014,90.16090,11.10000,106.66667,94.66667
27,2/12/2021 9:53:39 AM,34.54000,1.06000,-0.82000,103.00000,99.00000,99.00000,93.00000,94.00000,94.00000,31.82000,30.10000,30.10000,30.67333,34.55626,88.24220,11.59333,100.33333,93.66667
28,2/12/2021 9:53:39 AM,30.79000,3.98000,2.62000,106.00000,104.00000,105.00000,94.00000,96.00000,97.00000,33.11000,32.25000,32.68000,32.68000,31.04617,82.63463,12.46333,105.00000,95.66667
29,2/12/2021 9:53:39 AM,34.95000,-3.06000,2.43000,96.00000,99.00000,97.00000,88.00000,94.00000,95.00000,28.81000,30.10000,29.24000,29.38333,35.08370,95.00370,11.44000,97.33333,92.33333
30,2/12/2021 9:53:39 AM,34.93000,2.97000,3.05000,99.00000,99.00000,96.00000,93.00000,93.00000,92.00000,30.10000,30.10000,28.81000,29.67000,35.05604,85.13999,13.65000,98.00000,92.66667
31,2/12/2021 9:53:39 AM,37.17000,-0.18000,-3.93000,104.00000,104.00000,101.00000,86.00000,79.00000,87.00000,32.25000,32.25000,30.96000,31.82000,37.17043,90.27746,11.02000,103.00000,84.00000
32,2/12/2021 9:53:39 AM,33.14000,-8.16000,-0.01000,104.00000,102.00000,101.00000,81.00000,76.00000,88.00000,32.25000,31.39000,30.96000,31.53333,34.12983,103.83266,8.32333,102.33333,81.66667
33,2/12/2021 9:53:39 AM,28.70000,-5.54000,-7.68000,107.00000,106.00000,105.00000,90.00000,81.00000,84.00000,33.54000,33.11000,32.68000,33.11000,29.22981,100.92551,5.16000,106.00000,85.00000
34,2/12/2021 9:53:39 AM,16.82000,-11.40000,-3.43000,100.00000,99.00000,99.00000,53.00000,62.00000,55.00000,30.53000,30.10000,30.10000,30.24333,20.31926,124.12803,0.66333,99.33333,56.66667
35,2/12/2021 9:53:39 AM,21.60000,-9.20000,6.93000,102.00000,103.00000,102.00000,77.00000,81.00000,83.00000,31.39000,31.82000,31.39000,31.53333,23.47765,113.07041,6.44333,102.33333,80.33333
36,2/12/2021 9:53:40 AM,28.26000,1.55000,3.39000,104.00000,104.00000,105.00000,89.00000,92.00000,90.00000,32.25000,32.25000,32.68000,32.39333,28.30247,86.86060,11.06667,104.33333,90.33333
37,2/12/2021 9:53:40 AM,34.15000,6.05000,5.94000,106.00000,106.00000,106.00000,92.00000,95.00000,91.00000,33.11000,33.11000,33.11000,33.11000,34.68177,79.95374,15.38000,106.00000,92.66667
38,2/12/2021 9:53:40 AM,36.92000,-3.89000,1.39000,110.00000,108.00000,107.00000,91.00000,92.00000,92.00000,34.83000,33.97000,33.54000,34.11333,37.12436,96.01466,11.47333,108.33333,91.66667
39,2/12/2021 9:53:40 AM,33.25000,1.23000,1.98000,106.00000,105.00000,102.00000,88.00000,88.00000,91.00000,33.11000,32.68000,31.39000,32.39333,33.27274,87.88145,12.15333,104.33333,89.00000
40,2/12/2021 9:53:40 AM,28.30000,0.70000,2.92000,104.00000,103.00000,102.00000,88.00000,92.00000,93.00000,32.25000,31.82000,31.39000,31.82000,28.30866,88.58308,10.64000,103.00000,91.00000
41,2/12/2021 9:53:40 AM,28.86000,0.99000,5.06000,104.00000,101.00000,101.00000,91.00000,95.00000,96.00000,32.25000,30.96000,30.96000,31.39000,28.87698,88.03532,11.63667,102.00000,94.00000
42,2/12/2021 9:53:40 AM,30.49000,-5.12000,1.09000,97.00000,97.00000,98.00000,85.00000,87.00000,84.00000,29.24000,29.24000,29.67000,29.38333,30.91690,99.53240,8.82000,97.33333,85.33333
43,2/12/2021 9:53:40 AM,27.15000,-5.41000,1.36000,104.00000,101.00000,99.00000,87.00000,88.00000,87.00000,32.25000,30.96000,30.10000,31.10333,27.68376,101.26934,7.70000,101.33333,87.33333
44,2/12/2021 9:53:40 AM,26.81000,0.22000,6.57000,104.00000,103.00000,102.00000,93.00000,95.00000,97.00000,32.25000,31.82000,31.39000,31.82000,26.81090,89.52985,11.20000,103.00000,95.00000
45,2/12/2021 9:53:40 AM,25.08000,2.06000,3.26000,101.00000,101.00000,101.00000,93.00000,96.00000,92.00000,30.96000,30.96000,30.96000,30.96000,25.16446,85.30443,10.13333,101.00000,93.66667
46,2/12/2021 9:53:41 AM,24.61000,1.25000,5.69000,106.00000,105.00000,104.00000,88.00000,92.00000,91.00000,33.11000,32.68000,32.25000,32.68000,24.64172,87.09231,10.51667,105.00000,90.33333
47,2/12/2021 9:53:41 AM,31.62000,0.86000,3.87000,101.00000,102.00000,102.00000,90.00000,92.00000,91.00000,30.96000,31.39000,31.39000,31.24667,31.63169,88.44205,12.11667,101.66667,91.00000
48,2/12/2021 9:53:41 AM,38.85000,2.38000,1.13000,105.00000,105.00000,106.00000,91.00000,90.00000,90.00000,32.68000,32.68000,33.11000,32.82333,38.92283,86.49437,14.12000,105.33333,90.33333
49,2/12/2021 9:53:41 AM,41.31000,5.59000,0.08000,102.00000,100.00000,101.00000,93.00000,94.00000,96.00000,31.39000,30.53000,30.96000,30.96000,41.68650,82.29364,15.66000,101.00000,94.33333
50,2/12/2021 9:53:41 AM,38.80000,1.79000,1.97000,100.00000,102.00000,99.00000,86.00000,93.00000,92.00000,30.53000,31.39000,30.10000,30.67333,38.84127,87.35859,14.18667,100.33333,90.33333
51,2/12/2021 9:53:41 AM,36.44000,5.22000,0.13000,101.00000,100.00000,104.00000,90.00000,96.00000,94.00000,30.96000,30.53000,32.25000,31.24667,36.81198,81.84789,13.93000,101.66667,93.33333
52,2/12/2021 9:53:41 AM,36.50000,8.19000,1.53000,99.00000,100.00000,100.00000,92.00000,95.00000,97.00000,30.10000,30.53000,30.53000,30.38667,37.40757,77.35324,15.40667,99.66667,94.66667
53,2/12/2021 9:53:41 AM,35.80000,4.31000,-0.72000,104.00000,101.00000,102.00000,85.00000,88.00000,85.00000,32.25000,30.96000,31.39000,31.53333,36.05851,83.13514,13.13000,102.33333,86.00000
54,2/12/2021 9:53:41 AM,32.77000,5.06000,0.53000,103.00000,105.00000,101.00000,90.00000,95.00000,94.00000,31.82000,32.68000,30.96000,31.82000,33.15835,81.22231,12.78667,103.00000,93.00000
55,2/12/2021 9:53:41 AM,35.85000,-1.27000,1.39000,105.00000,103.00000,101.00000,93.00000,96.00000,96.00000,32.68000,31.82000,30.96000,31.82000,35.87249,92.02888,11.99000,103.00000,95.00000
56,2/12/2021 9:53:42 AM,34.94000,-3.54000,2.58000,106.00000,105.00000,105.00000,87.00000,88.00000,91.00000,33.11000,32.68000,32.68000,32.82333,35.11887,95.78527,11.32667,105.33333,88.66667
57,2/12/2021 9:53:42 AM,34.38000,-17.89000,0.96000,95.00000,97.00000,96.00000,84.00000,88.00000,88.00000,28.38000,29.24000,28.81000,28.81000,38.75612,117.49070,5.81667,96.00000,86.66667
58,2/12/2021 9:53:42 AM,28.36000,-23.81000,-11.90000,107.00000,107.00000,104.00000,58.00000,62.00000,52.00000,33.54000,33.54000,32.25000,33.11000,37.02980,130.01557,-2.45000,106.00000,57.33333
59,2/12/2021 9:53:42 AM,25.94000,-8.94000,-18.56000,100.00000,99.00000,95.00000,82.00000,76.00000,76.00000,30.53000,30.10000,28.38000,29.67000,27.43733,109.01608,-0.52000,98.00000,78.00000
60,2/12/2021 9:53:42 AM,24.92000,-4.72000,-9.10000,99.00000,101.00000,102.00000,95.00000,87.00000,94.00000,30.10000,30.96000,31.39000,30.81667,25.36306,100.72512,3.70000,100.66667,92.00000
61,2/12/2021 9:53:42 AM,24.60000,-6.25000,-5.27000,100.00000,103.00000,102.00000,95.00000,93.00000,91.00000,30.53000,31.82000,31.39000,31.24667,25.38154,104.25524,4.36000,101.66667,93.00000
62,2/12/2021 9:53:42 AM,26.16000,-5.82000,-3.13000,104.00000,103.00000,102.00000,95.00000,94.00000,95.00000,32.25000,31.82000,31.39000,31.82000,26.79959,102.54272,5.73667,103.00000,94.66667
63,2/12/2021 9:53:42 AM,26.91000,-3.65000,-1.94000,103.00000,107.00000,104.00000,92.00000,95.00000,95.00000,31.82000,33.54000,32.25000,32.53667,27.15641,97.72431,7.10667,104.66667,94.00000
64,2/12/2021 9:53:42 AM,30.90000,-4.69000,0.35000,97.00000,100.00000,98.00000,93.00000,97.00000,94.00000,29.24000,30.53000,29.67000,29.81333,31.25390,98.63048,8.85333,98.33333,94.66667
65,2/12/2021 9:53:42 AM,29.34000,-1.66000,7.20000,101.00000,102.00000,102.00000,91.00000,96.00000,94.00000,30.96000,31.39000,31.39000,31.24667,29.38692,93.23823,11.62667,101.66667,93.66667
66,2/12/2021 9:53:43 AM,26.63000,-1.11000,6.28000,103.00000,102.00000,101.00000,92.00000,97.00000,97.00000,31.82000,31.39000,30.96000,31.39000,26.65312,92.38684,10.60000,102.00000,95.33333
67,2/12/2021 9:53:43 AM,31.13000,-1.75000,5.46000,107.00000,104.00000,105.00000,85.00000,90.00000,88.00000,33.54000,32.25000,32.68000,32.82333,31.17915,93.21755,11.61333,105.33333,87.66667
68,2/12/2021 9:53:43 AM,37.97000,-2.66000,-1.11000,105.00000,104.00000,102.00000,78.00000,88.00000,84.00000,32.68000,32.25000,31.39000,32.10667,38.06306,94.00733,11.40000,103.66667,83.33333
69,2/12/2021 9:53:43 AM,35.91000,0.13000,-0.17000,99.00000,99.00000,98.00000,89.00000,92.00000,85.00000,30.10000,30.10000,29.67000,29.95667,35.91024,89.79258,11.95667,98.66667,88.66667
70,2/12/2021 9:53:43 AM,37.34000,-0.20000,-4.91000,106.00000,105.00000,104.00000,88.00000,91.00000,89.00000,33.11000,32.68000,32.25000,32.68000,37.34054,90.30688,10.74333,105.00000,89.33333
71,2/12/2021 9:53:43 AM,32.53000,-3.14000,-3.59000,109.00000,104.00000,103.00000,90.00000,88.00000,89.00000,34.40000,32.25000,31.82000,32.82333,32.68120,95.51347,8.60000,105.33333,89.00000
72,2/12/2021 9:53:43 AM,26.85000,1.93000,-6.91000,103.00000,104.00000,102.00000,88.00000,85.00000,84.00000,31.82000,32.25000,31.39000,31.82000,26.91928,85.88860,7.29000,103.00000,85.66667
73,2/12/2021 9:53:43 AM,29.40000,7.10000,-2.58000,109.00000,109.00000,107.00000,96.00000,97.00000,95.00000,34.40000,34.40000,33.54000,34.11333,30.24516,76.42322,11.30667,108.33333,96.00000
74,2/12/2021 9:53:43 AM,28.59000,9.23000,-1.23000,98.00000,100.00000,96.00000,92.00000,94.00000,90.00000,29.67000,30.53000,28.81000,29.67000,30.04299,72.10784,12.19667,98.00000,92.00000
75,2/12/2021 9:53:43 AM,24.89000,9.13000,2.22000,104.00000,101.00000,101.00000,94.00000,96.00000,95.00000,32.25000,30.96000,30.96000,31.39000,26.51168,69.85626,12.08000,102.00000,95.00000
76,2/12/2021 9:53:44 AM,26.74000,9.41000,1.87000,102.00000,105.00000,103.00000,94.00000,97.00000,95.00000,31.39000,32.68000,31.82000,31.96333,28.34741,70.61266,12.67333,103.33333,95.33333
77,2/12/2021 9:53:44 AM,22.61000,8.12000,0.37000,100.00000,104.00000,101.00000,93.00000,93.00000,92.00000,30.53000,32.25000,30.96000,31.24667,24.02387,70.24510,10.36667,101.66667,92.66667
78,2/12/2021 9:53:44 AM,25.59000,6.82000,-0.30000,107.00000,107.00000,104.00000,96.00000,97.00000,96.00000,33.54000,33.54000,32.25000,33.11000,26.48321,75.07694,10.70333,106.00000,96.33333
79,2/12/2021 9:53:44 AM,23.53000,4.12000,-0.51000,99.00000,96.00000,94.00000,94.00000,94.00000,93.00000,30.10000,28.81000,27.95000,28.95333,23.88797,80.06844,9.04667,96.33333,93.66667
