Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
103,2/12/2021 10:13:18 AM,20.86000,-9.61000,-11.36000,95.00000,91.00000,93.00000,98.00000,87.00000,93.00000,28.38000,26.66000,27.52000,27.52000,22.96719,114.73507,-0.03667,93.00000,92.66667
104,2/12/2021 10:13:18 AM,20.62000,-12.72000,-12.97000,95.00000,97.00000,95.00000,94.00000,88.00000,91.00000,28.38000,29.24000,28.38000,28.66667,24.22773,121.66947,-1.69000,95.66667,91.00000
105,2/12/2021 10:13:18 AM,26.13000,-8.59000,-12.92000,97.00000,100.00000,97.00000,87.00000,82.00000,80.00000,29.24000,30.53000,29.24000,29.67000,27.50573,108.19781,1.54000,98.00000,83.00000
106,2/12/2021 10:13:19 AM,23.08000,-6.67000,-7.78000,90.00000,90.00000,88.00000,92.00000,86.00000,92.00000,26.23000,26.23000,25.37000,25.94333,24.02447,106.11902,2.87667,89.33333,90.00000
107,2/12/2021 10:13:19 AM,29.25000,-0.65000,-5.17000,97.00000,95.00000,93.00000,95.00000,94.00000,93.00000,29.24000,28.38000,27.52000,28.38000,29.25722,91.27303,7.81000,95.00000,94.00000
108,2/12/2021 10:13:19 AM,27.79000,0.01000,-1.69000,98.00000,97.00000,95.00000,93.00000,92.00000,89.00000,29.67000,29.24000,28.38000,29.09667,27.79000,89.97938,8.70333,96.66667,91.33333
109,2/12/2021 10:13:19 AM,25.32000,-3.37000,0.15000,102.00000,100.00000,95.00000,93.00000,92.00000,91.00000,31.39000,30.53000,28.38000,30.10000,25.54328,97.58130,7.36667,99.00000,92.00000
110,2/12/2021 10:13:19 AM,20.54000,-13.54000,-7.71000,97.00000,96.00000,98.00000,90.00000,84.00000,88.00000,29.24000,28.81000,29.67000,29.24000,24.60128,123.39293,-0.23667,97.00000,87.33333
111,2/12/2021 10:13:19 AM,18.13000,-11.05000,-10.35000,87.00000,89.00000,87.00000,96.00000,87.00000,94.00000,24.94000,25.80000,24.94000,25.22667,21.23204,121.36177,-1.09000,87.66667,92.33333
112,2/12/2021 10:13:19 AM,17.07000,-11.16000,-11.42000,97.00000,101.00000,99.00000,94.00000,89.00000,92.00000,29.24000,30.96000,30.10000,30.10000,20.39437,123.17580,-1.83667,99.00000,91.66667
