Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
9872,2/19/2021 10:20:36 AM,12.12000,-1.14000,2.29000,62.00000,56.00000,59.00000,97.00000,96.00000,95.00000,14.19000,11.61000,12.90000,12.90000,12.17350,95.37340,4.42333,59.00000,96.00000
9873,2/19/2021 10:20:36 AM,11.80000,-1.42000,0.44000,57.00000,57.00000,59.00000,94.00000,94.00000,96.00000,12.04000,12.04000,12.90000,12.32667,11.88513,96.86192,3.60667,57.66667,94.66667
9874,2/19/2021 10:20:36 AM,10.40000,0.14000,0.45000,58.00000,58.00000,55.00000,95.00000,95.00000,95.00000,12.47000,12.47000,11.18000,12.04000,10.40094,89.22876,3.66333,57.00000,95.00000
9875,2/19/2021 10:20:36 AM,10.47000,-1.23000,0.80000,66.00000,70.00000,69.00000,96.00000,97.00000,96.00000,15.91000,17.63000,17.20000,16.91333,10.54200,96.70031,3.34667,68.33333,96.33333
9876,2/19/2021 10:20:37 AM,10.39000,-2.66000,0.05000,51.00000,52.00000,52.00000,92.00000,94.00000,95.00000,9.46000,9.89000,9.89000,9.74667,10.72510,104.36016,2.59333,51.66667,93.66667
9877,2/19/2021 10:20:37 AM,12.06000,0.29000,-0.35000,63.00000,59.00000,60.00000,97.00000,96.00000,95.00000,14.62000,12.90000,13.33000,13.61667,12.06349,88.62251,4.00000,60.66667,96.00000
9878,2/19/2021 10:20:37 AM,11.60000,0.59000,-1.08000,66.00000,62.00000,63.00000,96.00000,95.00000,96.00000,15.91000,14.19000,14.62000,14.90667,11.61499,87.08833,3.70333,63.66667,95.66667
9879,2/19/2021 10:20:37 AM,12.87000,1.53000,-0.35000,57.00000,60.00000,57.00000,96.00000,97.00000,95.00000,12.04000,13.33000,12.04000,12.47000,12.96063,83.22043,4.68333,58.00000,96.00000
9880,2/19/2021 10:20:37 AM,14.37000,1.93000,-1.01000,63.00000,62.00000,70.00000,95.00000,96.00000,98.00000,14.62000,14.19000,17.63000,15.48000,14.49903,82.35052,5.09667,65.00000,96.33333
9881,2/19/2021 10:20:37 AM,14.05000,2.98000,-1.12000,63.00000,63.00000,61.00000,97.00000,97.00000,97.00000,14.62000,14.62000,13.76000,14.33333,14.36255,78.02505,5.30333,62.33333,97.00000
